file,pubDate
arctic-data.14189.12,2017-10-06
arctic-data.14197.6,2017-10-02
arctic-data.14199.5,2017-10-03
arctic-data.14201.6,2017-10-03
arctic-data.14203.8,2017-10-04
arctic-data.14210.5,2017-10-04
arctic-data.14218.7,2017-10-06
arctic-data.14272.7,2017-10-17
arctic-data.14274.14,2017-10-18
arctic-data.14276.9,2017-10-18
arctic-data.14278.6,2017-10-19
arctic-data.14282.8,2017-10-30
arctic-data.14284.9,2017-10-31
arctic-data.14285.11,2017-11-13
arctic-data.14286.18,2017-11-14
arctic-data.14289.17,2017-11-14
arctic-data.14291.5,2017-11-02
arctic-data.14293.2,2017-11-17
arctic-data.14295.2,2017-11-17
arctic-data.14310.2,2017-11-07
arctic-data.14312.7,2017-11-07
arctic-data.14314.11,2017-11-07
arctic-data.14320.9,2017-11-10
arctic-data.14322.17,2017-11-12
arctic-data.14323.4,2017-11-14
arctic-data.14324.3,2017-11-17
arctic-data.14332.15,2017-12-08
arctic-data.14332.15,2015
arctic-data.14332.15,2016
arctic-data.14334.13,2017-11-19
arctic-data.14336.15,2017-11-19
arctic-data.14337.11,2017-11-20
arctic-data.14345.24,2017-12-12
arctic-data.14354.9,2017-11-28
arctic-data.14357.8,2017-11-26
arctic-data.14368.1,2017-11-26
arctic-data.14372.3,2017-11-27
arctic-data.14375.14,2017-11-29
arctic-data.14377.22,2017-11-28
arctic-data.14396.5,2017-11-29
arctic-data.14398.4,2017-11-29
arctic-data.14400.5,2017-11-29
arctic-data.14402.3,2017-11-29
arctic-data.14404.5,2017-11-29
arctic-data.14406.3,2017-11-29
arctic-data.14408.5,2017-11-29
arctic-data.14410.4,2017-11-29
arctic-data.14415.8,2017-11-30
arctic-data.14419.15,2017-11-30
arctic-data.14423.1,2017-11-30
arctic-data.14433.1,2017-12-03
arctic-data.14440.8,2017-12-15
arctic-data.14442.16,2017-12-12
arctic-data.14444.3,2017-12-12
arctic-data.14453.5,2017-12-16
arctic-data.14454.1,2017-12-16
arctic-data.14458.4,2017-12-20
arctic-data.14461.6,2017-12-22
arctic-data.14477.9,2017-12-22
arctic-data.14477.9,2016
arctic-data.14477.9,2017
arctic-data.14482.6,2017-12-22
arctic-data.14487.5,2018-01-01
arctic-data.14489.16,2018-01-02
arctic-data.14493.9,2018-01-05
arctic-data.14495.18,2018-01-05
arctic-data.14506.3,2018-01-05
