"funding","title"
"4442515","NA"
"4597099","NA"
"4476452","NA"
"4624067","NA"
"4727335","NA"
"4476088","NA"
"4563397","NA"
"4596731","NA"
"4726194","NA"
"4563196","NA"
"4496837","NA"
"4646538","NA"
"4470746","NA"
"4633075","NA"
"4712914","NA"
"4586074","NA"
"4621598","NA"
"4723209","NA"
"4350237","NA"
"4728182","NA"
"4563680","NA"
"4628791","NA"
"4496875","NA"
"4731076","NA"
"4611208","NA"
"4564691","NA"
"4630603","NA"
"4724945","NA"
"4642752","NA"
"4541107","NA"
"4634162","NA"
"4640033","NA"
"4641156","NA"
"4730893","NA"
"4441107","NA"
"4726141","NA"
"4648779","NA"
"4562948","NA"
"4564844","NA"
"4444707","NA"
"4561853","NA"
"4638043","NA"
"4471755","NA"
"4728617","NA"
"4593063","NA"
"4498872","NA"
"4561460","NA"
"4446329","NA"
"4646688","NA"
"4469745","NA"
"4723071","NA"
"4596414","NA"
"4564908","NA"
"4548101","NA"
"4646754","NA"
"4471437","NA"
"4726741","NA"
"4628643","NA"
"4641513","NA"
"4642318","NA"
"4563312","NA"
"4729349","NA"
"4477055","NA"
"4460070","NA"
"4442421","NA"
"4442597","NA"
"4724050","NA"
"4496174","NA"
"4564312","NA"
"4410148","NA"
"4475675","NA"
"4563662","NA"
"4636331","NA"
"4561148","NA"
"4479030","NA"
"4641345","NA"
"4649043","NA"
"4645776","NA"
"4597191","NA"
"4564547","NA"
"4471225","NA"
"4724382","NA"
"4564540","NA"
"4645574","NA"
"4726725","NA"
"4502050","NA"
"4565711","NA"
"4729162","NA"
"4501505","NA"
"4724647","NA"
"4494482","NA"
"4597891","NA"
"4497205","NA"
"4498815","NA"
"4587399","NA"
"4466124","NA"
"4563546","NA"
"4642089","NA"
"4348412","NA"
"4347813","NA"
"4693624","NA"
"1772728","NA"
"1517112","NA"
"1317408","NA"
"1173624","NA"
"1509120","NA"
"1541072","NA"
"1509136","NA"
"1636944","NA"
"1597008","NA"
"2028360","NA"
"2004392","NA"
"1437248","The Nitrogen Fertilizer Industry:  Integrating Industrial Ecology and Political Ecology Approaches"
"1357368","2014 Predator-prey Interactions ""From Genes to Ecosystems to Human Mental Health"" Gordon Research Conference; Ventura, CA - January 5-10, 2014"
"1021872","NA"
"1053824","NA"
"1045832","Experimental study of the flow behavior of garnet at high pressures: implications for the rheology of subducted lithosphere"
"1037848","NA"
"1181632","NA"
"1205592","Collaborative Research: CI-ADDO-NEW: Parallel and Distributed Computing Curriculum Development and Educational Resources"
"1517128","NA"
"1189616","NA"
"1021728","NA"
"1501024","Function theory in CR geometry and partial differential equations"
"1197480","NA"
"1149552","CAREER:   Genetic and Functional Characterization of Microbial Secondary Lipid Biosynthesis - a Biomes to Biotechnology Investigation"
"1077656","NA"
"1189488","NA"
"1101624","NA"
"1125584","NA"
"1117600","NeTS:  Small:Spatio-Temporal Spectrum Sensing"
"1181504","NA"
"1229432","NA"
"1109608","NA"
"1005768","NA"
"1013752","NA"
"1341240","NA"
"1053672","NA"
"1117576","NA"
"1604840","NA"
"1788568","NA"
"1785560","NA"
"1657976","Workshop on  Architecture and Software for Emerging Applications (WASEA)"
"1665944","NA"
"1777584","NA"
"1012096","NA"
"1386880","NA"
"1490544","NA"
"1522432","NA"
"1466616","NA"
"1458640","Collaborative Research:  ABI Innovation:  Connecting resources to enable large-scale biodiversity analyses"
"1362960","Families of varieties of general type"
"1450672","NA"
"1091832","NA"
"1155624","NA"
"1059944","NA"
"1604912","NA"
"1293400","NA"
"1964392","NA"
"1876520","NA"
"1924448","NA"
"1948416","NA"
"1780664","NA"
"1437184","NA"
"1453160","NA"
"1469136","NA"
"1493096","NA"
"1564992","NA"
"1572976","NA"
"2188056","NA"
"1301384","NA"
"1253480","NA"
"1165616","NA"
"1980392","NA"
"1557024","NA"
"1636904","NA"
"1365312","NA"
"1173600","NA"
"1357328","NA"
"1141648","NA"
"1093720","NA"
"1197568","NA"
"1684832","NA"
"1293424","NA"
"1549040","NA"
"1389280","NA"
"1029816","NA"
"1221528","NA"
"1533064","NA"
"1413240","NA"
"1596968","NA"
"1117688","NA"
"1005856","Layer Construction within Perovskite Hosts via Consecutive Topochemical Reactions"
"2156088","NA"
"1844560","NA"
"1812608","NA"
"1796632","NA"
"1221496","NA"
"1157592","NA"
"1133632","NA"
"1253448","NA"
"1229488","NA"
"1580960","NA"
"1748704","NA"
"1596848","NA"
"1445072","NA"
"1229400","MRI: Acquisition of a single-crystal diffractometer for the University of Minnesota"
"1213424","NA"
"1133544","NA"
"1197448","NA"
"1269336","NA"
"1349216","NA"
"1053664","NA"
"1173480","NA"
"2116160","NA"
"1716744","Collaborative Research: Mechanisms of RNA-directed activation of a Cas9 nuclease competent for DNA interrogation."
"1916464","NA"
"1732736","NA"
"1692800","NA"
"1181568","NA"
"1205528","II-NEW: Collaborative Research: Image Processing Cloud (IPC): A Domain-Specific Cloud Computing Infrastructure for Research and Education"
"1988352","NA"
"1405232","DISSERTATION RESEARCH: The origin and evolution of a sexually selected trait"
"1509072","NA"
"1125648","NA"
"1037784","NA"
"1501088","NA"
"1253456","NA"
"1980368","NA"
"1668832","NA"
"1660848","Collaborative for Capacity Building-Preparing STEM Teachers for Alaska"
"1596944","NA"
"1860528","NA"
"1536640","NA"
"1258560","NA"
"1140904","NA"
"1167640","NA"
"1226472","NA"
"1119512","Morehouse College DR K-12  Pre-Service STEM Teacher Initiative"
"1547352","NA"
"1322736","NA"
"1349472","NA"
"1370864","NA"
"2331824","NA"
"2028296","NA"
"1868536","NA"
"1684808","NA"
"1604928","NA"
"1636880","NA"
"1652856","NA"
"1820608","Collaborative Research: CHEESE: Cyber Human Ecosystem of Engaged Security Education"
"1764688","NA"
"1836584","NA"
"1533040","NA"
"1557000","Collaborative Research: Fire-fungal-plant feedbacks in pyrogenic ecosystems"
"1812616","NA"
"1772680","NA"
"1517064","NA"
"1173576","NA"
"1133640","Conference Support for ""Fourth International Conference on Electrophoretic Deposition: Fundamentals and Applications.(EPD-2011) Oct 2-7, 2011 in Puerto Vallarta, Mexico."
"1477104","NA"
"1572984","NA"
"1533048","NA"
"1253464","NA"
"1357312","NA"
"1668840","NA"
"1596952","NA"
"1277432","NA"
"1285416","NA"
"1509080","NA"
"1165600","NA"
"1093704","NA"
"1469144","NA"
"1269440","NA"
"1125656","NA"
"2859088","NA"
"1747568","NA"
"1021776","Collaborative Research: ETBC--The Cycling of Nitrogen in an Earth System Model: Constraints and Implications for Climate Change"
"1085696","NA"
"1285408","NA"
"1213520","NA"
"1708776","Multidimensional Materials Assembled by DNA Based Information"
"1644872","NA"
"1628896","NA"
"1325352","NA"
"1716760","NA"
"1588952","NA"
"1549016","NA"
"1413216","NA"
"1133568","NA"
"1325296","NA"
"1165536","NA"
"1596888","NA"
"1485056","NA"
"1397184","NA"
"1532984","NA"
"1245416","NA"
"1237424","NA"
"1381208","NA"
"1317304","NA"
"1628840","NA"
"1461088","Manipulating and Classifying Memory Processing during Sleep"
"1413160","NA"
"1524992","CHS: Small: Printable Partitioning of 3D Models using Level Set Methods"
"1229440","NA"
"1037728","NA"
"1173520","NA"
"1053704","NA"
"1029736","NA"
"1061656","NA"
"1005760","NA"
"1836528","NA"
"1580912","NA"
"1732680","NA"
"1109616","NA"
"1149560","NA"
"1493040","NA"
"1077664","NA"
"1205472","II-NEW: Collaborative Research: COMET: A Web Infrastructure for Research and Experimentation in User Interactive Event Driven Testing"
"1197488","NA"
"1501032","NA"
"1365232","NA"
"1572920","NA"
"1389200","NA"
"1604872","NA"
"1349296","NA"
"1612912","NA"
"1732728","NA"
"1916456","NA"
"1572968","NA"
"1836576","NA"
"1772672","NA"
"1493088","NA"
"1429184","NA"
"1373272","NA"
"1333328","NA"
"1381256","NA"
"1141616","NA"
"1173568","NA"
"1045760","NA"
"1061712","Planning visit to Universidade Federal do Parana (UFPR), Brazil"
"1844568","NA"
"1788656","NA"
"1261448","NA"
"1189552","NA"
"1093696","NA"
"1053760","NA"
"1389256","NA"
"1612920","NA"
"1309376","RUI: Applications of Non-Commutative Algebra to Character Varieties"
"1461144","NA"
"1429192","NA"
"1477120","NA"
"1101680","NA"
"1101696","NA"
"1221512","NA"
"1445168","Collaborative Research: Long Term Sublimation/Preservation of Two Separate, Buried Glacier Ice Masses, Ong Valley, Southern Transantarctic Mountains"
"1397240","NA"
"1541024","NA"
"1117664","CSR: Small: Collaborative Research: Systematic Approaches for Real-Time Stream Data Services"
"1365288","NA"
"1221504","NA"
"1381264","NA"
"1069736","NA"
"1133656","NA"
"1221520","NA"
"1723904","NA"
"2883160","NA"
"1269416","NA"
"1285392","NA"
"1892496","NA"
"1620904","An Online STEM Career Exploration and Readiness Environment for Opportunity Youth"
"1676824","NA"
"1724752","NA"
"1804632","NA"
"1580968","NA"
"1013784","NA"
"1620920","Supporting Instructional Growth in Mathematics: Enhancing Urban Secondary Teachers' Professional Learning through Formative Feedback"
"1517080","Moduli spaces of complex dynamical systems"
"1588968","NA"
"1501104","Classification of C*-algebras, Flow Equivalence of Shift Spaces, and Graphs and Leavitt Path Algebras"
"1333352","NA"
"1237496","NA"
"1668848","NA"
"1461160","REU Site: Summer Program for Interdisciplinary Research and Education - Emerging Interface Technologies (SPIRE-EIT)"
"1453176","NA"
"1421224","NA"
"1101704","NA"
"1117680","NA"
"1628912","NA"
"1301400","NA"
"1652872","NA"
"1285424","NA"
"1509088","Phases and Phase Transitions in Complex Networks"
"1226856","NA"
"1269984","NA"
"1005832","NA"
"1053776","NA"
"1389272","NA"
"1085728","NA"
"1397256","NA"
"1732752","NA"
"1205544","Transient Quantum Optomechanics"
"1069752","NA"
"1245488","CC-NIE Network Infrastructure: Expanding Connectivity to Campus-Wide Resources for Computational Discovery"
"1349328","NA"
"1636896","NA"
"1644888","EAGER: Novel Applications of Mobile Observational Strategies to Non-Severe Atmospheric Scenarios"
"1271939","NA"
"1263949","NA"
"1433115","NA"
"1094555","NA"
"1126591","NA"
"1675049","NA"
"1634531","NA"
"1609585","Creation, Detection, and Manipulation of Isolated Magnetic Skyrmions in  Nanowires for Magnetic Storage Applications"
"1754538","NA"
"1206403","NA"
"1746365","NA"
"1246589","NA"
"1480366","NA"
"1004903","REU Site: SUMMER UNDERGRADUATE RESEARCH FOCUS (SURF): Climate Change, Global Warming and the Health of Texas Bays and Estuaries"
"1689956","NA"
"1093457","NA"
"1738306","NA"
"1367604","NA"
"1190455","NA"
"1432356","NA"
"1706642","Spectroscopic photon localization microscopy for super-resolution molecular imaging"
"1416194","NA"
"1045444","NA"
"2345979","NA"
"1513418","NA"
"1440856","NA"
"1449024","U.S.-Based Student Support to Attend ACM SIGSPATIAL 2014"
"1303482","PostDoctoral Research Fellowship"
"1609784","Responsive Hybrid Oleosin Nanomaterials"
"1238843","NA"
"1077704","NA"
"1577617","NA"
"1658439","NA"
"1174440","NA"
"1142175","NA"
"1642175","NA"
"1392403","NA"
"1029388","Understanding Multimodal Interactions in Neuronal Networks"
"1231150","NA"
"1077867","NA"
"1198380","NA"
"1335684","NA"
"1174324","NA"
"1045272","NA"
"1279058","NA"
"1448328","NA"
"1351578","NA"
"1238710","NA"
"1141999","NA"
"1158184","NA"
"1319274","NA"
"1399956","NA"
"1093712","NA"
"1198370","NA"
"1061288","NA"
"1238866","NA"
"1641928","NA"
"1585540","NA"
"1803510","NA"
"1706736","NA"
"1513045","NA"
"1698375","NA"
"1609720","Monomers and Dimers of Cytochrome c in Apoptotic Peroxidase Activity"
"1940791","NA"
"1682395","NA"
"1642303","Workshop Proposal: Long-term trends in nitrogen cycles in ecosystems: Field monitoring and global comparisons"
"1714472","Collaborative Research: Exploring Gas throughout the Milky Way Galaxy and Magellanic System of Galaxies with the WHAM-South Telescope"
"1214634","SBIR Phase I:  Electrochemical Systems for the Reduction of Oxyhalide Species"
"1480831","NA"
"1056970","NA"
"1290067","NA"
"1227134","NA"
"1184324","NA"
"1078251","NA"
"1502079","NA"
"1318012","NA"
"1148862","NA"
"1268731","NA"
"1076141","NA"
"1316004","NA"
"1290173","NA"
"1268857","NA"
"1203486","Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean"
"4106240","NA"
"1258833","NA"
"3939521","NA"
"1047420","NA"
"1101862","NA"
"1026107","NA"
"1108180","NA"
"1116532","NA"
"1138431","NA"
"1127773","NA"
"1140734","NA"
"1138712","NA"
"1144189","NA"
"1137270","NA"
"1138142","NA"
"1138709","NA"
"1137341","Extended Exponence in Cross-Linguistic Perspective"
"1128056","NA"
"1117985","Computing without a Leader: Building Blocks for Internet-Scale, Robust Computing"
"1110776","NA"
"1063831","Automatic Intrusion Detection and Response system for Cyberinfrastructure-Oriented Systems (AIDR-COS)"
"1096959","NA"
"1080536","NA"
"6488407","NA"
"5795840","NA"
"5511498","NA"
"1043919","Incorporating Complex Open Authentic Case Studies into a Capstone Course"
"4515840","NA"
"4241121","NA"
"0632398","IPY: Collaborative Research on the State of the Arctic Sea Ice Cover: An Integrated Seasonal Ice Zone Observing Network (SIZONET)"
"0856867","Collaborative Research on the State of the Arctic Sea Ice Cover: Sustaining the Integrated Seasonal Ice Zone Observing Network (SIZONET)"
"0909374","Collaborative Research: The impact of bromine chemistry on the isotopic composition of nitrate at Summit, Greenland"
"1301929","Collaborative Research: Geological Hazards, Climate Change, and Human/Ecosystems Resilience in the Islands of the Four Mountains, Alaska."
"1126781","NA"
"6246400","NA"
"5939719","NA"
"1039612","NA"
"1107792","Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON)"
"7200044","NA"
"5461235","NA"
"6394472","NA"
"6403344","NA"
"6396692","NA"
"6395580","NA"
"1604700","Carbon-dioxide and Oxygen Counter-permeable Membrane Reactor for  Hydrogen/Syngas Production from Natural Gas"
"6400016","NA"
"6406672","NA"
"6398908","NA"
"6402236","NA"
"5872132","NA"
"6404452","NA"
"6269156","NA"
"6397800","NA"
"4072228","NA"
"5730180","NA"
"4302900","NA"
"6224796","NA"
"6401128","NA"
"6405564","NA"
"6087280","NA"
"5406720","NA"
"5119131","NA"
"7469007","NA"
"5224959","NA"
"5550080","NA"
"0904152","Collaborative Research: Integrated Characterization of Energy, Clouds, Atmospheric State, and Precipition over Summit ( ICECAPS)"
"6313728","NA"
"1664139","NA"
"3420024","NA"
"2057947","NA"
"7334089","NA"
"3824563","NA"
"5062056","NA"
"3656739","NA"
"4951590","NA"
"4235471","NA"
"6633608","NA"
"1670073","NA"
"7035303","NA"
"2537918","NA"
"1053221","RAPID: Affect of Petroleum Deposit Geometry on Biodegradation Potential and Long-Term Persistence"
"1061747","NA"
"1008308","NA"
"9847314","NA"
"2005068","NA"
"1003863","NA"
"1228826","NA"
"3976497","NA"
"4438455","NA"
"6797716","NA"
"1005844","Levy Processes, Martingales and Spectral Theory"
"1652706","NA"
"6614320","NA"
"1805882","NA"
"1950666","NA"
"6058936","NA"
"3153390","NA"
"5362440","NA"
"7699245","NA"
"8843922","NA"
"9439655","NA"
"1747149","SBIR Phase I:  Scalable Manufacture of Natural Fiber Welded Yarn"
"1466475","NA"
"1810861","NA"
"4914749","NA"
"3730821","NA"
"2776219","NA"
"4283043","NA"
"4131564","NA"
"1099857","NA"
"3700301","NA"
"1597119","NA"
"1108306","COLLABORATIVE RESEARCH: Response of the Northwest Greenland cryosphere to Holocene climate change"
"1349259","Building an Effective Service-Oriented Cyberinfrastructure Portal to Support Sustained Polar Sciences"
"5311380","NA"
"1775677","NA"
"1220197","NA"
"1289817","NA"
"5959919","NA"
"2951390","NA"
"8983028","NA"
"8681325","NA"
"8682913","NA"
"8549270","NA"
"8618954","NA"
"8573044","NA"
"8402864","NA"
"9037041","NA"
"8963347","NA"
"8963141","NA"
"9619371","System Support for Scalable Distributed Services"
"8615295","NA"
"9254550","Presidential Awards for Excellence in Science and Mathematics Teaching"
"8607599","NA"
"9028429","NA"
"9050929","NA"
"8734644","NA"
"8634045","NA"
"9641997","NA"
"8844318","NA"
"8449919","NA"
"8067543","NA"
"8824787","NA"
"8173975","NA"
"8206314","NA"
"8278071","NA"
"7677616","NA"
"9354838","NA"
"8301814","NA"
"9768196","NA"
"9921812","NA"
"9637892","NA"
"9071744","NA"
"9097648","NA"
"8742846","NA"
"9846565","NA"
"1364523","NA"
"9498720","NA"
"4189688","NA"
"4386592","NA"
"4386712","NA"
"9235384","NA"
"8335376","NA"
"7637120","NA"
"8195784","NA"
"8406016","NA"
"9001456","NA"
"9227312","NA"
"8411696","NA"
"9061640","NA"
"9310992","Dissertation Research:  The Consequences of Selection       for Increased and Decreased Glucosinolate Production in     Brassica"
"9227432","NA"
"8411816","NA"
"9061760","NA"
"9311112","NA"
"9615344","NA"
"9883704","NA"
"8377096","NA"
"6252592","NA"
"5675208","NA"
"6280344","NA"
"6124120","NA"
"5955384","NA"
"5339960","NA"
"6198520","NA"
"9282072","NA"
"6809400","NA"
"6140736","NA"
"6841064","NA"
"6660064","NA"
"6469160","NA"
"5746808","NA"
"6751416","NA"
"9282192","NA"
"6809520","NA"
"6140856","NA"
"6841184","NA"
"6660184","NA"
"6469280","NA"
"5746928","NA"
"6751536","NA"
"7372176","NA"
"7882040","NA"
"7882160","NA"
"9069610","NA"
"9169348","NA"
"9987194","NA"
"9987553","NA"
"5155733","NA"
"5434653","NA"
"5435012","NA"
"8779843","NA"
"8295550","NA"
"7956706","NA"
"7588376","NA"
"9646003","NA"
"9093534","NA"
"8709242","NA"
"8295464","NA"
"9646362","NA"
"9093893","NA"
"8709601","NA"
"8295823","NA"
"7888495","NA"
"8439073","NA"
"8173140","NA"
"8946360","NA"
"5981080","NA"
"8631463","NA"
"9258585","NA"
"8956772","NA"
"9847200","NA"
"6437008","NA"
"8631822","NA"
"9258944","NA"
"8957131","Presidential Young Investigators Award"
"9847559","NA"
"6437367","NA"
"4875824","NA"
"5106960","NA"
"9682824","NA"
"9114216","NA"
"5202480","NA"
"5469344","NA"
"5202600","NA"
"5469464","NA"
"8192184","NA"
"9052392","NA"
"5208080","NA"
"8774824","NA"
"9035616","NA"
"5583224","NA"
"9708856","1996 Presidential Awardees"
"9035736","NA"
"5583344","NA"
"9708976","NA"
"9371376","NA"
"5680176","NA"
"6121672","NA"
"6121792","NA"
"5457776","NA"
"5124160","NA"
"5776776","NA"
"5508232","NA"
"5776896","NA"
"5508352","NA"
"6259896","NA"
"6776672","NA"
"6776792","NA"
"9521200","NA"
"6333832","NA"
"7207176","NA"
"9879896","NA"
"9696856","NA"
"6888888","NA"
"7893664","NA"
"6889008","NA"
"7893784","NA"
"8509864","NA"
"9403064","NA"
"9403184","NA"
"5133920","NA"
"5890144","NA"
"5496304","NA"
"6368640","NA"
"5496424","NA"
"6368760","NA"
"8973128","NA"
"9942888","NA"
"9943008","NA"
"5570512","NA"
"8851416","NA"
"6137976","NA"
"6253672","NA"
"6083712","NA"
"5999248","NA"
"9794376","NA"
"6652200","NA"
"6795968","NA"
"6590280","NA"
"5999368","NA"
"9794496","NA"
"6652320","NA"
"6796088","NA"
"6590400","NA"
"5484488","NA"
"8951672","NA"
"9872296","NA"
"5895768","NA"
"9904824","Molecular and Functional Dissection of a Drosophila Egg-Laying Hormone"
"5895888","NA"
"9904944","NA"
"4909176","NA"
"6296272","NA"
"8251368","NA"
"8705872","NA"
"8762504","NA"
"5230568","NA"
"6835600","NA"
"9095128","NA"
"9618320","NA"
"9693608","NA"
"5230688","NA"
"6835720","NA"
"9095248","NA"
"9618440","NA"
"9693728","NA"
"5065752","NA"
"5343920","NA"
"5344040","NA"
"9513624","NA"
"5471528","NA"
"8845608","NA"
"5884952","NA"
"9788568","NA"
"5885072","NA"
"9788688","NA"
"5412600","NA"
"5740248","NA"
"9907808","Winter-Spring Hydroperoxide Measurements and Photochemistry Over Northcentral North  America During TOPSE"
"5343168","NA"
"9851984","NA"
"9257840","NA"
"5466592","NA"
"9093576","NA"
"5818368","NA"
"6193224","NA"
"5738728","NA"
"5878736","NA"
"5818488","NA"
"6193344","NA"
"5738848","NA"
"5878856","NA"
"8896224","NA"
"9843016","NA"
"9843136","NA"
"9984784","NA"
"8898024","NA"
"9862680","NA"
"9862800","NA"
"5587408","NA"
"6559928","NA"
"9826776","NA"
"9856480","NA"
"6019968","NA"
"7146888","NA"
"6020088","NA"
"7147008","NA"
"9867280","NA"
"8978664","NA"
"9229208","NA"
"9950976","NA"
"9951096","NA"
"5793056","NA"
"6251136","NA"
"6251256","NA"
"2699448","NA"
"2810456","NA"
"2810576","NA"
"5980952","NA"
"9273400","NA"
"6999176","NA"
"6463280","NA"
"7652488","NA"
"6463400","NA"
"7652608","NA"
"6875280","NA"
"6271896","NA"
"8196312","NA"
"7509448","NA"
"6824400","NA"
"9041024","NA"
"7509568","NA"
"6824520","NA"
"9041144","NA"
"7304336","NA"
"8002304","NA"
"8002424","NA"
"5920664","NA"
"8899104","NA"
"9361896","NA"
"9847168","NA"
"9847288","NA"
"5215032","NA"
"5437176","NA"
"5255520","NA"
"5590176","NA"
"5846768","NA"
"5639592","NA"
"5590296","NA"
"5846888","NA"
"5639712","NA"
"9351784","NA"
"9568512","NA"
"8654824","NA"
"9567160","NA"
"9567280","NA"
"6677472","NA"
"5303424","NA"
"7282296","NA"
"5693880","NA"
"7282416","NA"
"5694000","NA"
"6588928","NA"
"7483824","NA"
"7182264","NA"
"8211144","NA"
"7182384","NA"
"8211264","NA"
"8870008","NA"
"6671736","NA"
"7121056","NA"
"9829560","NA"
"7275280","NA"
"7790952","NA"
"9829680","NA"
"7275400","NA"
"7791072","NA"
"5220664","NA"
"5595808","NA"
"5595928","NA"
"5361152","NA"
"5443400","NA"
"7590408","NA"
"8906800","NA"
"5759264","NA"
"5851720","NA"
"8329208","NA"
"9856144","NA"
"5759384","NA"
"5851840","NA"
"8329328","NA"
"9856264","NA"
"9290288","NA"
"6810600","NA"
"7923416","NA"
"7435840","NA"
"8734952","NA"
"7435960","NA"
"8735072","NA"
"3658528","NA"
"3943616","NA"
"6145464","NA"
"6204840","NA"
"7023440","NA"
"6181288","NA"
"7193648","NA"
"5930112","NA"
"6933208","NA"
"6087568","NA"
"6559040","NA"
"6507960","NA"
"6199592","NA"
"6986960","NA"
"5675096","NA"
"4097952","NA"
"6664440","NA"
"6733144","NA"
"7679792","NA"
"6707048","NA"
"7873744","NA"
"6408384","NA"
"7563272","NA"
"6598912","NA"
"7134832","NA"
"7078664","NA"
"6723656","NA"
"7638224","NA"
"6117752","NA"
"4098072","NA"
"6664560","NA"
"6733264","NA"
"7679912","NA"
"6707168","NA"
"7873864","NA"
"6408504","NA"
"7563392","NA"
"6599032","NA"
"7134952","NA"
"7078784","NA"
"6723776","NA"
"7638344","NA"
"6117872","NA"
"7883712","NA"
"8045112","NA"
"9063008","NA"
"8001360","NA"
"9602968","Ethical Issues for Food Biotechnology - A North America-    Europe Comparison"
"7703472","NA"
"8898800","NA"
"7824920","NA"
"8519096","NA"
"8252608","NA"
"7662896","NA"
"8822672","NA"
"6931144","NA"
"8681208","NA"
"8866856","NA"
"8816720","NA"
"8474176","NA"
"9859624","NA"
"8613488","NA"
"9409744","NA"
"9104976","NA"
"8425944","NA"
"9759256","NA"
"7575520","NA"
"8681328","NA"
"8866976","NA"
"8816840","NA"
"8474296","NA"
"9859744","NA"
"8613608","NA"
"9409864","RIA: Reducing Communication Latency with Path Multiplexing  in Optically Interconnected Multiprocessor Systems"
"9105096","NA"
"8426064","NA"
"9759376","NA"
"7575640","NA"
"8149472","NA"
"8983976","NA"
"8984096","NA"
"5856328","NA"
"4674800","NA"
"7013048","NA"
"6762120","NA"
"6953800","NA"
"6775376","NA"
"7537136","NA"
"7064096","NA"
"6673496","NA"
"6710720","NA"
"7017008","NA"
"4078568","NA"
"6325896","NA"
"4921064","NA"
"7666360","NA"
"7380976","NA"
"7605832","NA"
"7396784","NA"
"8283592","NA"
"7727616","NA"
"7279592","NA"
"7321920","NA"
"7674144","NA"
"4286552","NA"
"6326016","NA"
"4921184","NA"
"7666480","NA"
"7381096","NA"
"7605952","NA"
"7396904","NA"
"8283712","NA"
"7727736","NA"
"7279712","NA"
"7322040","NA"
"7674264","NA"
"4286672","NA"
"7545632","NA"
"9994416","NA"
"8279328","NA"
"8279448","NA"
"3897128","NA"
"8852672","NA"
"7017672","NA"
"5913664","NA"
"9794360","NA"
"7673536","NA"
"6395992","NA"
"9794480","NA"
"7673656","NA"
"6396112","NA"
"5559384","NA"
"5988120","NA"
"5988240","NA"
"7094440","NA"
"7862592","NA"
"7862712","NA"
"9909928","NA"
"8064584","NA"
"8257040","NA"
"9477600","NA"
"9735176","NA"
"8080896","NA"
"6788944","NA"
"8379824","NA"
"8980704","NA"
"7020344","NA"
"7115976","NA"
"8888880","NA"
"9106856","NA"
"8909016","NA"
"7410352","NA"
"9257712","NA"
"9954288","NA"
"7676208","NA"
"7788424","NA"
"8889000","NA"
"9106976","Mathematical Sciences:  Envelopes of Holomorphy and         Holomorphic Motions"
"8909136","NA"
"7410472","NA"
"9257832","NA"
"9954408","NA"
"7676328","NA"
"7788544","NA"
"8373343","NA"
"9180895","NA"
"9181254","NA"
"7662632","NA"
"8091648","NA"
"8091768","NA"
"6658048","NA"
"7021864","NA"
"7021984","NA"
"9866544","NA"
"9515244","Democratization, Regional Change, and Ethnicity in the      Southern Balkans: The Case of the Rhodope Region of Bulgaria"
"9321789","NA"
"6704861","NA"
"9748484","NA"
"9805871","NA"
"8979029","NA"
"9861798","NA"
"9299700","NA"
"9820191","NA"
"9833037","NA"
"9500883","NA"
"9312932","Improved Conceptual Design Using Implicit Solid Modeling"
"9314063","NA"
"9822411","NA"
"9427112","NA"
"9339952","NA"
"9375272","NA"
"9236134","NA"
"9935590","NA"
"7034014","NA"
"9444526","NA"
"9909917","NA"
"9925541","NA"
"9926672","NA"
"9956145","NA"
"9996249","CAREER:  Columnwise Formulation for Combinatorial           Optimization and Its Application in Telecommunication"
"9837975","NA"
"9935976","NA"
"7034400","NA"
"9444912","NA"
"9910303","Science Coordination Office for Summit, Greenland Environmental Observatory (Cooperative Research with the University of New Hampshire)"
"9925927","NA"
"9927058","NA"
"9956531","NA"
"9996635","NA"
"9838361","NA"
"7622339","NA"
"8109364","NA"
"8109750","NA"
"8478643","NA"
"9796553","NA"
"9895543","NA"
"8887448","NA"
"8771464","NA"
"8010787","NA"
"7931143","NA"
"9510121","Material Instabilities in Particulate Systems"
"9164204","NA"
"9631617","NA"
"9498889","NA"
"8630572","NA"
"8540160","NA"
"9164590","NA"
"9632003","NA"
"9499275","NA"
"8630958","NA"
"8540546","NA"
"1205443","Universal and Non-Universal Few-Body Physics in the Ultracold"
"0856710","Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations"
"0856516","Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations"
"0856628","Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations"
"0856728","Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations."
"9498728","NA"
"4189696","NA"
"4386600","NA"
"4386720","NA"
"9235392","NA"
"8335384","NA"
"7637128","NA"
"8195792","NA"
"8406024","NA"
"9001464","NA"
"9227320","NA"
"8411704","NA"
"9061648","NA"
"9311000","NA"
"9227440","NA"
"8411824","NA"
"9061768","NA"
"9311120","NA"
"9615352","NA"
"9883712","NA"
"8377104","NA"
"6252600","NA"
"5675216","NA"
"6280352","NA"
"6124128","NA"
"5955392","NA"
"5339968","NA"
"6198528","NA"
"9282080","NA"
"6809408","NA"
"6140744","NA"
"6841072","NA"
"6660072","NA"
"6469168","NA"
"5746816","NA"
"6751424","NA"
"9282200","NA"
