funding_num,date,expDate,fundProgramName,startDate,title
0904152,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research: Integrated Characterization of Energy, Clouds, Atmospheric State, and Precipition over Summit ( ICECAPS)"
0908156,08/28/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Subglacial controls on Greenland Ice Sheet marginal acceleration
0908724,08/03/2009,07/31/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Frost flowers in Arctic winter: Sea-to-air transport of microbes and viruses
0909048,07/27/2009,07/31/2013,ARCTIC NATURAL SCIENCES,08/01/2009,Collaborative research: Glacier seismicity and its relationship to basal movement
0909155,06/30/2009,10/31/2012,ARCTIC NATURAL SCIENCES,09/01/2009,Canopy gas exchange and growth of white spruce near the Arctic treeline: confronting measurements with models along natural and experimental resource gradients
0909193,08/26/2009,06/30/2013,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: A winter expedition to explore the biological and physical conditions of the Bering, Chukchi, and Southern Beaufort Seas"
0909264,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Arctic Ocean redox history and Hg cycling using redox-sensitive trace metals and Hg isotopes: the influence of sea ice
0909265,09/11/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,Understanding the physical properties of Northern Greenland near-surface snow: A spatial variability study
0909274,08/04/2009,07/31/2014,ARCTIC NATURAL SCIENCES,08/15/2009,Collaborative Research: Glacier-Ocean Coupling in a Large East Greenland Fjord
0909330,08/18/2009,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2009,Controls on Sea Surface pCO2 Variability and CO2 Uptake in the Western Arctic Ocean
0909349,08/04/2009,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2009,River Plumes as Indicators for Greenland Ice Sheet Melt
0909368,08/26/2009,08/31/2014,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: A Winter Expediton to Explore the Biological and Physical Conditions of the Bering, Chukchi and Southern Beaufort Seas"
0909372,07/31/2009,09/30/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Impacts of Climate Change and Ice Conditions on Microbial Food Web Dynamics in the Barents Sea
0909374,09/11/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: The impact of bromine chemistry on the isotopic composition of nitrate at Summit, Greenland"
0909377,07/13/2009,12/31/2012,ARCTIC NATURAL SCIENCES,08/01/2009,Interannual Variability in Carbon Export to the Deep Arctic Ocean
0909388,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Improving surface mass balance estimation of the Greenland ice sheet through assimilation of multi-sensor satellite products and ground measurements into a regional climate model
0909431,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Collaborative Research: Subglacial Water Intrusion in Greenland
0909432,07/17/2009,07/31/2012,ARCTIC NATURAL SCIENCES,08/01/2009,"Near-inertial wave generation, propagation, and shoaling in a seasonally ice-covered ocean"
0909454,08/28/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Subglacial Controls on Greenland Ice Sheet Marginal Acceleration
0909482,08/20/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,The geochemical ecology of cryptoendolithic microorganisms: relationships between cyanobacteria and sandstone weathering in the Canadian High Arctic
0909495,08/24/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Greenland Ice Sheet Basal Hydrology and Sliding Dynamics ? The Proof of the Drill
0909499,09/09/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,Collaborative Research: Greenland Ice Sheet Snow Accumulation Variability: Filling Knowledge and Data Voids
0909502,08/25/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,"Re-visiting ""The Limnology of Tundra Ponds"": Re-sampling historic sites to track global change in Arctic aquatic ecosystems."
0909523,07/23/2009,12/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2010,Collaborative Research: Nonlinearities in the Arctic climate system during the Holocene
0909538,07/16/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Collaborative Research: Environmental changes alter the carbon cycle of High Arctic ecosystems: shifts in the ages and sources of CO2 and DOC
0909541,08/17/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,"Biomass Burning, Dust, Sea Salt, Volcanic & Pollution Aerosols in the Arctic during the Last 2 Millennia: High Resolution Aerosol Records from NEEM & an Aray of Archived Ice Cores"
0909571,08/03/2009,09/30/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Environmental change in the Arctic Ocean:  a synthesis and retrospective analysis of zooplankton communities
0935336,06/30/2009,12/31/2012,ARCTIC NATURAL SCIENCES,07/01/2009,EAGER: Developing a high-resolution late Holocene sediment record of rapid Arctic climate change from the Colville delta and adjacent Beaufort Sea inner shelf
0936365,09/01/2009,08/31/2012,ATMOSPHERIC CHEMISTRY,09/01/2009,"Support for Atmospheric Field Research at Thule, Greenland"
1003740,05/27/2010,06/30/2013,ARCTIC NATURAL SCIENCES,07/01/2010,Collaborative Research: Unraveling the post-Pliocene Arctic Ocean transition to the icehouse climate
1020417,04/05/2011,03/31/2015,AON IMPLEMENTATION,04/15/2011,The Yukon River Basin Indigenous Observation Network: Uniting Traditional Ecological Knowledge and Western Science to Address and Understand Water Resources in the Arctic
1021274,08/10/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,The Response of Arctic Clouds to Changes in Sea Ice during Autumn
1022139,07/13/2010,12/31/2016,AON IMPLEMENTATION,07/15/2010,"Collaborative Research: Annual Observations of the Biological and Physical Marine Environment in the Chukchi and nearshore Beaufort Seas near Barrow, AK"
1022472,08/11/2010,08/31/2016,AON IMPLEMENTATION,09/01/2010,The Arctic Observing Network at Critical Gateways--A Sustained Observing System at Davis Strait
1022475,08/19/2010,08/31/2016,AON IMPLEMENTATION,09/01/2010,Collaborative Research:  Long-term Observations in the Switchyard Region of the Arctic Ocean as part of the Arctic Observing Network (AON)
1022703,08/03/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Strain-Induced Fabric Development in Ice under Hydrostatic Pressure
1022710,08/05/2010,12/31/2015,AON IMPLEMENTATION,01/01/2011,Collaborative Research: Sea ice deformation observation within AON
1022716,08/31/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Radiocarbon in Dissolved Organic Matter in the  Arctic Ocean
1022843,07/27/2010,07/31/2014,ARCTIC NATURAL SCIENCES,08/01/2010,Dynamics and Forcing of Nares Strait from  2003 to 2009: Tidal to Interannual Variability to the West of Greenland
1022979,08/25/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Long-term carbon storage shifts in high-latitude peatlands with paleoclimate change: Linking peatland modeling with paleoecology and paleohydrology
1023118,09/09/2010,08/31/2016,AON IMPLEMENTATION,09/15/2010,Collaborative Research: The O-Buoy Network of Chemical Sensors in the Arctic Ocean
1023191,08/26/2010,02/29/2016,ARCTIC NATURAL SCIENCES,09/01/2010,Deciphering 6 My of the Greenland Ice Sheet History using in situ 10-Be from marine sediment cores
1023264,07/27/2010,07/31/2014,AON IMPLEMENTATION,08/15/2010,Arctic Ocean Acidification: Bering Strait Time Series
1023270,09/08/2010,03/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2010,Collaborative Research: Turning on the lights - Photochemical and microbial processing of newly exposed carbon in arctic ecosystems
1023272,08/11/2010,02/28/2013,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: An investigation of wave dynamics in the Arctic mesosphere and coupling between the lower and upper polar atmosphere
1023281,08/26/2010,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: The East Siberian Arctic Shelf as a Source of Atmospheric Methane: First Approach to Quantitative Assessment
1023283,08/05/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,"Impacts of reduced sea ice on atmospheric heat, precipitation rates, and ice production"
1023318,08/31/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: Analysis of McCall Glacier Ice Core and Related Modern Process Studies
1023331,07/13/2010,12/31/2018,AON IMPLEMENTATION,07/15/2010,"Collaborative Research: Annual Observations of the Biological and Physical Marine Environment in the Chukchi and Nearshore Beaufort Seas near Barrow, AK"
1023334,08/05/2010,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2010,Population genetics of a climate-indicating predator across the forest-tundra ecotone
1023348,09/10/2010,12/31/2014,ARCTIC NATURAL SCIENCES,01/01/2011,Collaborative research: Sinking rates and nutritional quality of organic mater exported from sea ice;  the importance of exopolymeric substances
1023371,08/12/2010,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Impact of Storm Activity on Recent Changes in Arctic Sea Ice Mass Balance
1023396,08/31/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Effects of Environmental Change on Arctic-Breeding Shorebirds
1023446,07/13/2010,06/30/2016,AON IMPLEMENTATION,07/15/2010,"Collaborative Research:  Annual Observations of the Biological and Physical Marine Environment in the Chukchi and nearshore Beaufort Seas near Barrow, AK"
1023462,08/05/2010,07/31/2014,ARCTIC NATURAL SCIENCES,08/15/2010,Collaborative Research: Greenland Meltwater Geomicrobiology
1023477,08/05/2010,07/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,08/15/2010,Collaborative Research: Integrating paleoecological analysis and ecological modeling to elucidate the responses of tundra fire regimes to climate change
1023537,08/25/2010,12/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2011,Late Quaternary Sea Ice History of the Beringian Arctic Gateway
1023561,09/07/2012,08/31/2016,POLAR CYBERINFRASTRUCTURE,09/15/2012,"Collaborative Research - Development and innovation of the Barrow Area Information Database (BAID): A cyberinfrastructure that supports arctic science, outreach and education."
1023574,08/13/2010,09/30/2017,ARCTIC SYSTEM SCIENCE PROGRAM,10/01/2010,"Closing the Isotope Hydrology at Summit: Measurements of Source Regions, Precipitation and Post-deposition Processes"
1023582,08/04/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Terrestrial Linkages to Microbial and Metazoan Communities in Coastal Ecosystems of the Beaufort Sea
1023619,09/10/2010,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2010,"Fisheries Privatization, Sociocultural Transitions, and Well-Being in Kodiak, Alaska"
1023623,08/05/2010,11/30/2015,ARCTIC SYSTEM SCIENCE PROGRAM,12/15/2010,Dynamics and Consequences of Increasing Ice-wedge Degradation
1023651,08/31/2010,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,"Collaborative Research: A pan-Arctic, storm-by-storm isotopic investigation of the influence of Arctic sea ice on precipitation - a crucial link in the coupled climate system"
1023654,09/07/2012,08/31/2018,POLAR CYBERINFRASTRUCTURE,09/15/2012,"Collaborative Research - Development and innovation of the Barrow Area Information Database (BAID): A cyberinfrastructure that supports arctic science, outreach and education"
1023662,08/05/2010,01/31/2014,AON IMPLEMENTATION,01/01/2011,Collaborative Research: Sea Ice Deformation Observation with an AON
1023672,09/09/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2010,"Collaborative Proposal:  Aerosol Concentrations, Sources and Transport Pathways within the Arctic Polar Dome during Recent Millennia"
1023686,03/10/2011,02/28/2015,ARCTIC SOCIAL SCIENCES,03/15/2011,Community-Based Documentation of Ice Seals and Walrus in the Bering Strait Region
1026911,08/04/2010,08/31/2014,ARCTIC SOCIAL SCIENCES,09/01/2010,Shetland Islands Climate and Settlement Project: Multidisciplinary Analysis of Environmental Catastrophes on Northern Coastlines
1038596,06/01/2010,05/31/2015,GRADUATE RESEARCH FELLOWSHIPS,06/01/2010,Graduate Research Fellowship Program
1042531,08/29/2011,08/31/2017,ARCTIC RESRCH SUPPRT & LOGISTI,09/01/2011,Collaborative Research: Science Coordination Office for Summit Station and the Greenland Traverse
1044610,07/20/2011,07/31/2016,ARCTIC RESEARCH AND EDUCATION,08/01/2011,Collaborative Research: The Polaris Project II: Amplifying the Impact
1103443,06/09/2011,05/31/2013,POST DOC/TRAVEL,06/15/2011,PostDoctoral Research Fellowship
1106317,08/31/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2011,Investigating links between atmospheric chemistry and climate using oxygen isotope measurements of sulfate and nitrate from Greenland ice cores
1106362,07/27/2011,07/31/2016,ARCTIC SOCIAL SCIENCES,08/01/2011,Ethnoarchaeological investigation of the Yup'ik seal poke storage system in southwestern Alaska
1107106,07/21/2011,07/31/2016,AON IMPLEMENTATION,08/01/2011,Integrating Passive Acoustic Monitoring in long-term oceanographic observations of the Bering Strait
1107343,08/03/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,Collaborative Research: Ice Core Studies Reconstructing Greenland Climate During the Eemian and Beyond
1107346,08/12/2011,02/28/2015,AON IMPLEMENTATION,09/01/2011,Collaborative Research: An Arctic Ocean Sea Surface pCO2 and pH Observing Network
1107381,08/26/2011,01/31/2017,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research:  Linking belowground phenology and ecosystem function in a warming Arctic
1107398,08/04/2011,07/31/2015,AON IMPLEMENTATION,08/15/2011,"Long-term measurements of nitrogen oxides at the GEOSummit station, Greenland"
1107411,08/24/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,COLLABORATIVE RESEARCH: Response of the Northwest Greenland Cryosphere to Holocene Climate Change
1107428,08/16/2011,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2011,Surface Energy Budgets at Arctic Terrestrial Sites: Quantifying Energy and Momentum Fluxes and their Associated Physical Processes
1107440,08/11/2011,10/31/2012,ARCTIC NATURAL SCIENCES,08/15/2011,Collaborative Research: Climate-mediated coupling of hydrology and biogeochemistry in arctic hillslopes
1107481,08/30/2011,08/31/2016,AON IMPLEMENTATION,09/15/2011,Collaborative Research: Toward a Circumarctic Lakes Observation Network (CALON): Multiscale Observations of Lacustrine Systems
1107491,08/19/2011,10/31/2016,ARCTIC NATURAL SCIENCES,11/01/2011,The role of tributaries in glacier surges
1107498,08/19/2011,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2011,"Understanding the Wave-Driven Circulation and Variability of the Polar Atmosphere through Coordinated Observation, Analysis, and Modeling"
