file,funding,funding_num
arctic-data.13973.5,1348450,1348450
arctic-data.13979.4,1702456,1702456
arctic-data.13984.5,1702456,1702456
arctic-data.13990.6,1702456,1702456
arctic-data.13996.6,1702456,1702456
arctic-data.14002.5,1702456,1702456
arctic-data.14008.5,1702456,1702456
arctic-data.14014.5,1702456,1702456
arctic-data.14020.6,1702456,1702456
arctic-data.14026.6,1702456,1702456
arctic-data.14032.5,1702456,1702456
arctic-data.14037.7,1702456,1702456
arctic-data.14043.5,1702456,1702456
arctic-data.14049.4,1702456,1702456
arctic-data.14055.4,1702456,1702456
arctic-data.14061.4,1702456,1702456
arctic-data.14067.4,1702456,1702456
arctic-data.14073.4,1702456,1702456
arctic-data.14079.4,1702456,1702456
arctic-data.14081.1,1304007,1304007
arctic-data.14082.5,1348450,1348450
arctic-data.14083.8,1023334,1023334
arctic-data.14084.7,1023334,1023334
arctic-data.14085.5,1023334,1023334
arctic-data.14086.6,1023334,1023334
arctic-data.14088.10,1417480,1417480
arctic-data.14089.3,0424589,0424589
arctic-data.14090.7,1023334,1023334
arctic-data.14092.5,1023334,1023334
arctic-data.14104.5,1304523,1304523
arctic-data.14104.5,1304879,1304879
arctic-data.14105.4,1108571,1108571
arctic-data.14107.8,1023334,1023334
arctic-data.14109.6,1023334,1023334
arctic-data.14110.1,1417789,1417789
arctic-data.14112.5,DPP-8700360,8700360
arctic-data.14112.5,DPP-8822600,8822600
arctic-data.14119.6,1416961,1416961
arctic-data.14119.6,1417128,1417128
arctic-data.14119.6,1417815,1417815
arctic-data.14129.11,1416961,1416961
arctic-data.14129.11,1417128,1417128
arctic-data.14129.11,1417815,1417815
arctic-data.14135.18,1416961,1416961
arctic-data.14135.18,1417128,1417128
arctic-data.14135.18,1417815,1417815
arctic-data.14144.7,1416961,1416961
arctic-data.14144.7,1417128,1417128
arctic-data.14144.7,1417815,1417815
arctic-data.14153.6,1416961,1416961
arctic-data.14153.6,1417128,1417128
arctic-data.14153.6,1417815,1417815
arctic-data.14161.8,1416961,1416961
arctic-data.14161.8,1417128,1417128
arctic-data.14161.8,1417815,1417815
arctic-data.14169.6,1416961,1416961
arctic-data.14169.6,1417128,1417128
arctic-data.14169.6,1417815,1417815
arctic-data.14178.9,1416961,1416961
arctic-data.14178.9,1417128,1417128
arctic-data.14178.9,1417815,1417815
arctic-data.14184.5,1416961,1416961
arctic-data.14184.5,1417128,1417128
arctic-data.14184.5,1417815,1417815
arctic-data.14186.10,1301927,1301927
arctic-data.14189.12,1417476,1417476
arctic-data.14197.6,1142145,1142145
arctic-data.14199.5,1304523,1304523
arctic-data.14199.5,1304879,1304879
arctic-data.14201.6,1304755,1304755
arctic-data.14203.8,1460290,1460290
arctic-data.14210.5,N00014,00014
arctic-data.14210.5,OPP-1549620,1549620
arctic-data.14210.5, ONR-1547946,1547946
arctic-data.14210.5, ONR-1544301,1544301
arctic-data.14218.7,1023334,1023334
arctic-data.14272.7,0856330,0856330
arctic-data.14272.7,1022475,1022475
arctic-data.14274.14,1304563,1304563
arctic-data.14276.9,1304563,1304563
arctic-data.14276.9,1303617,1303617
arctic-data.14278.6,1415489,1415489
arctic-data.14282.8,1232856,1232856
arctic-data.14284.9,1304228,1304228
arctic-data.14284.9,NSF-ANS-1304228,1304228
arctic-data.14285.11,1504288,1504288
arctic-data.14285.11,1504521,1504521
arctic-data.14285.11,1503910,1503910
arctic-data.14285.11,1504191,1504191
arctic-data.14286.18,1504288,1504288
arctic-data.14286.18,1504191,1504191
arctic-data.14286.18,1503910,1503910
arctic-data.14286.18,1504521,1504521
arctic-data.14289.17,1504288,1504288
arctic-data.14289.17,1504521,1504521
arctic-data.14289.17,1503910,1503910
arctic-data.14289.17,1504191,1504191
arctic-data.14291.5,1304523,1304523
arctic-data.14291.5,1304879,1304879
arctic-data.14293.2,1630360,1630360
arctic-data.14295.2,1630360,1630360
arctic-data.14310.2,1341500,1341500
arctic-data.14312.7,1417772,1417772
arctic-data.14312.7, 1523025,1523025
arctic-data.14314.11,1417772,1417772
arctic-data.14314.11,   1523025,1523025
arctic-data.14320.9,1203418,1203418
arctic-data.14320.9,1203451,1203451
arctic-data.14322.17,1503928,1503928
arctic-data.14323.4,1550260,1550260
arctic-data.14324.3,1416961,1416961
arctic-data.14324.3,1417128,1417128
arctic-data.14324.3,1417815,1417815
arctic-data.14332.15,1630360,1630360
arctic-data.14334.13,1023270,1023270
arctic-data.14334.13,1351745,1351745
arctic-data.14334.13,1026843,1026843
arctic-data.14336.15,1630360,1630360
arctic-data.14337.11,1445811,1445811
arctic-data.14345.24,1303965,1303965
arctic-data.14345.24,This material is based is based upon work supported by the National Science Foundation under grant 1303965,1303965
arctic-data.14345.24,K500835,500835
arctic-data.14354.9,1304905,1304905
arctic-data.14357.8,1304905,1304905
arctic-data.14368.1,1304905,1304905
arctic-data.14372.3,1304905,1304905
arctic-data.14375.14,NSF-ARC-0909330,0909330
arctic-data.14375.14,  NSF PLR-1304337,1304337
