file,funding,funding_num,pubDate
arctic-data.13710.5,9211775,9211775,2017-04-26
arctic-data.13714.3,1044610,1044610,2017-04-28
arctic-data.13714.3,1304007,1304007,2017-04-28
arctic-data.13714.3,1103443,1103443,2017-04-28
arctic-data.13714.3,1304040,1304040,2017-04-28
arctic-data.13716.2,1504394,1504394,2017-10-30
arctic-data.13724.4,0856531,0856531,2017-05-08
arctic-data.13735.3,0856531,0856531,2017-05-08
arctic-data.13740.1,0856531,0856531,2017-05-08
arctic-data.13748.3,0856531,0856531,2017-05-08
arctic-data.13749.4,1418268,1418268,2017-05-08
arctic-data.13753.2,0856531,0856531,2017-05-08
arctic-data.13754.8,1224181,1224181,2017-05-16
arctic-data.13755.3,1504141,1504141,2017-05-08
arctic-data.13757.2,1546954,1546954,2017-05-09
arctic-data.13758.12,1304271,1304271,2017-05-10
arctic-data.13762.8,1203271,1203271,2017-05-17
arctic-data.13767.5,1417149,1417149,2017-05-17
arctic-data.13777.3,1204263,1204263,2017-05-17
arctic-data.13778.2,1546024,1546024,2017-05-21
arctic-data.13784.7,1304271,1304271,2017-05-10
arctic-data.13788.4,1204082,1204082,2017-05-22
arctic-data.13802.7,1503672,1503672,2017-05-22
arctic-data.13802.7,0520287,0520287,2017-05-22
arctic-data.13802.7,0856292,0856292,2017-05-22
arctic-data.13809.12,1603407,1603407,2017-05-24
arctic-data.13814.7,1503672,1503672,2017-05-24
arctic-data.13814.7,0520287,0520287,2017-05-24
arctic-data.13814.7,0856292,0856292,2017-05-24
arctic-data.13819.5,1636711,1636711,2017-05-25
arctic-data.13835.9,PLR-1332911,1332911,2017-06-02
arctic-data.13837.3,1504141,1504141,2017-06-06
arctic-data.13839.7,1204233,1204233,2017-06-07
arctic-data.13841.4,1304523,1304523,2017-06-12
arctic-data.13841.4,1304879,1304879,2017-06-12
arctic-data.13843.4,1304523,1304523,2017-06-12
arctic-data.13843.4,1304879,1304879,2017-06-12
arctic-data.13844.3,1642016,1642016,2017-06-19
arctic-data.13854.3,1449784,1449784,2017-06-21
arctic-data.13861.9,1304905,1304905,2017-11-30
arctic-data.13863.4,1304905,1304905,2017-06-26
arctic-data.13865.8,1349259,1349259,2017-06-28
arctic-data.13876.5,PLR1500169,1500169,2017-06-29
arctic-data.13877.3,1304052,1304052,2017-06-29
arctic-data.13879.7,1637688,1637688,2017-07-05
arctic-data.13882.7,1503928,1503928,2017-07-19
arctic-data.13888.14,1702456,1702456,2017-07-25
arctic-data.13890.3,1236971,1236971,2017-07-19
arctic-data.13891.10,1344264,1344264,2017-07-21
arctic-data.13911.24,1204044,1204044,2017-07-24
arctic-data.13917.14,1702456,1702456,2017-07-25
arctic-data.13923.10,1702456,1702456,2017-07-25
arctic-data.13929.9,1702456,1702456,2017-07-25
arctic-data.13935.9,1702456,1702456,2017-07-25
arctic-data.13941.7,1702456,1702456,2017-07-24
arctic-data.13947.6,1702456,1702456,2017-07-25
arctic-data.13951.5,1023561,1023561,2017-07-26
arctic-data.13958.12,1603407,1603407,2017-07-26
arctic-data.13963.13,1603407,1603407,2017-07-25
arctic-data.13971.12,1603407,1603407,2017-07-26
arctic-data.13973.5,1348450,1348450,2017-07-27
arctic-data.13979.4,1702456,1702456,2017-08-01
arctic-data.13984.5,1702456,1702456,2017-08-01
arctic-data.13990.6,1702456,1702456,2017-08-01
arctic-data.13996.6,1702456,1702456,2017-08-01
arctic-data.14002.5,1702456,1702456,2017-08-01
arctic-data.14008.5,1702456,1702456,2017-08-01
arctic-data.14014.5,1702456,1702456,2017-08-02
arctic-data.14020.6,1702456,1702456,2017-08-02
arctic-data.14026.6,1702456,1702456,2017-08-02
arctic-data.14032.5,1702456,1702456,2017-08-02
arctic-data.14037.7,1702456,1702456,2017-08-02
arctic-data.14043.5,1702456,1702456,2017-08-04
arctic-data.14049.4,1702456,1702456,2017-08-04
arctic-data.14055.4,1702456,1702456,2017-08-04
arctic-data.14061.4,1702456,1702456,2017-08-04
arctic-data.14067.4,1702456,1702456,2017-08-04
arctic-data.14073.4,1702456,1702456,2017-08-04
arctic-data.14079.4,1702456,1702456,2017-08-04
arctic-data.14081.1,1304007,1304007,2017-08-06
arctic-data.14082.5,1348450,1348450,2017-08-08
arctic-data.14083.8,1023334,1023334,2017-08-10
arctic-data.14084.7,1023334,1023334,2017-08-10
arctic-data.14085.5,1023334,1023334,2017-08-10
arctic-data.14086.6,1023334,1023334,2017-08-10
arctic-data.14088.10,1417480,1417480,2017-08-11
arctic-data.14089.3,0424589,0424589,2017-08-28
arctic-data.14090.7,1023334,1023334,2017-08-31
arctic-data.14092.5,1023334,1023334,2017-08-31
arctic-data.14104.5,1304523,1304523,2017-09-07
arctic-data.14104.5,1304879,1304879,2017-09-07
arctic-data.14105.4,1108571,1108571,2017-09-12
arctic-data.14107.8,1023334,1023334,2017-09-22
arctic-data.14109.6,1023334,1023334,2017-09-22
arctic-data.14110.1,1417789,1417789,2017-09-24
arctic-data.14112.5,DPP-8700360,8700360,2017-09-27
arctic-data.14112.5,DPP-8822600,8822600,2017-09-27
arctic-data.14119.6,1416961,1416961,2017-09-28
arctic-data.14119.6,1417128,1417128,2017-09-28
arctic-data.14119.6,1417815,1417815,2017-09-28
arctic-data.14129.11,1416961,1416961,2017-09-28
arctic-data.14129.11,1417128,1417128,2017-09-28
arctic-data.14129.11,1417815,1417815,2017-09-28
arctic-data.14135.18,1416961,1416961,2017-09-28
arctic-data.14135.18,1417128,1417128,2017-09-28
arctic-data.14135.18,1417815,1417815,2017-09-28
arctic-data.14144.7,1416961,1416961,2017-09-28
arctic-data.14144.7,1417128,1417128,2017-09-28
arctic-data.14144.7,1417815,1417815,2017-09-28
arctic-data.14153.6,1416961,1416961,2017-09-28
arctic-data.14153.6,1417128,1417128,2017-09-28
arctic-data.14153.6,1417815,1417815,2017-09-28
arctic-data.14161.8,1416961,1416961,2017-09-28
arctic-data.14161.8,1417128,1417128,2017-09-28
arctic-data.14161.8,1417815,1417815,2017-09-28
arctic-data.14169.6,1416961,1416961,2017-09-28
arctic-data.14169.6,1417128,1417128,2017-09-28
arctic-data.14169.6,1417815,1417815,2017-09-28
arctic-data.14178.9,1416961,1416961,2017-09-28
arctic-data.14178.9,1417128,1417128,2017-09-28
arctic-data.14178.9,1417815,1417815,2017-09-28
arctic-data.14184.5,1416961,1416961,2017-09-28
arctic-data.14184.5,1417128,1417128,2017-09-28
arctic-data.14184.5,1417815,1417815,2017-09-28
arctic-data.14186.10,1301927,1301927,2017-11-07
arctic-data.14189.12,1417476,1417476,2017-10-06
arctic-data.14197.6,1142145,1142145,2017-10-02
arctic-data.14199.5,1304523,1304523,2017-10-03
arctic-data.14199.5,1304879,1304879,2017-10-03
arctic-data.14201.6,1304755,1304755,2017-10-03
arctic-data.14203.8,1460290,1460290,2017-10-04
arctic-data.14210.5,N00014,00014,2017-10-04
arctic-data.14210.5,OPP-1549620,1549620,2017-10-04
arctic-data.14210.5, ONR-1547946,1547946,2017-10-04
arctic-data.14210.5, ONR-1544301,1544301,2017-10-04
arctic-data.14218.7,1023334,1023334,2017-10-06
arctic-data.14272.7,0856330,0856330,2017-10-17
arctic-data.14272.7,1022475,1022475,2017-10-17
arctic-data.14274.14,1304563,1304563,2017-10-18
arctic-data.14276.9,1304563,1304563,2017-10-18
arctic-data.14276.9,1303617,1303617,2017-10-18
arctic-data.14278.6,1415489,1415489,2017-10-19
arctic-data.14282.8,1232856,1232856,2017-10-30
arctic-data.14284.9,1304228,1304228,2017-10-31
arctic-data.14284.9,NSF-ANS-1304228,1304228,2017-10-31
arctic-data.14285.11,1504288,1504288,2017-11-13
arctic-data.14285.11,1504521,1504521,2017-11-13
arctic-data.14285.11,1503910,1503910,2017-11-13
arctic-data.14285.11,1504191,1504191,2017-11-13
arctic-data.14286.18,1504288,1504288,2017-11-14
arctic-data.14286.18,1504191,1504191,2017-11-14
arctic-data.14286.18,1503910,1503910,2017-11-14
arctic-data.14286.18,1504521,1504521,2017-11-14
arctic-data.14289.17,1504288,1504288,2017-11-14
arctic-data.14289.17,1504521,1504521,2017-11-14
arctic-data.14289.17,1503910,1503910,2017-11-14
arctic-data.14289.17,1504191,1504191,2017-11-14
arctic-data.14291.5,1304523,1304523,2017-11-02
arctic-data.14291.5,1304879,1304879,2017-11-02
arctic-data.14293.2,1630360,1630360,2017-11-17
arctic-data.14295.2,1630360,1630360,2017-11-17
arctic-data.14310.2,1341500,1341500,2017-11-07
arctic-data.14312.7,1417772,1417772,2017-11-07
arctic-data.14312.7, 1523025,1523025,2017-11-07
arctic-data.14314.11,1417772,1417772,2017-11-07
arctic-data.14314.11,   1523025,1523025,2017-11-07
arctic-data.14320.9,1203418,1203418,2017-11-10
arctic-data.14320.9,1203451,1203451,2017-11-10
arctic-data.14322.17,1503928,1503928,2017-11-12
arctic-data.14323.4,1550260,1550260,2017-11-14
arctic-data.14324.3,1416961,1416961,2017-11-17
arctic-data.14324.3,1417128,1417128,2017-11-17
arctic-data.14324.3,1417815,1417815,2017-11-17
arctic-data.14332.15,1630360,1630360,2017-12-08
arctic-data.14332.15,1630360,1630360,2015
arctic-data.14332.15,1630360,1630360,2016
arctic-data.14334.13,1023270,1023270,2017-11-19
arctic-data.14334.13,1351745,1351745,2017-11-19
arctic-data.14334.13,1026843,1026843,2017-11-19
arctic-data.14336.15,1630360,1630360,2017-11-19
arctic-data.14337.11,1445811,1445811,2017-11-20
arctic-data.14345.24,1303965,1303965,2017-12-12
arctic-data.14345.24,This material is based is based upon work supported by the National Science Foundation under grant 1303965,1303965,2017-12-12
arctic-data.14345.24,K500835,500835,2017-12-12
arctic-data.14354.9,1304905,1304905,2017-11-28
arctic-data.14357.8,1304905,1304905,2017-11-26
arctic-data.14368.1,1304905,1304905,2017-11-26
arctic-data.14372.3,1304905,1304905,2017-11-27
arctic-data.14375.14,NSF-ARC-0909330,0909330,2017-11-29
arctic-data.14375.14,  NSF PLR-1304337,1304337,2017-11-29
arctic-data.14375.14,  NSFC 4123052,4123052,2017-11-29
arctic-data.14375.14,  NSFC 4147617,4147617,2017-11-29
arctic-data.14375.14,  NSFC 4147617,4147617,2017-11-29
arctic-data.14375.14,  NSFC 4140622,4140622,2017-11-29
arctic-data.14377.22,1205062,1205062,2017-11-28
arctic-data.14396.5,1504381,1504381,2017-11-29
arctic-data.14396.5,1432982,1432982,2017-11-29
arctic-data.14398.4,1504381,1504381,2017-11-29
arctic-data.14398.4,1432982,1432982,2017-11-29
arctic-data.14400.5,1504381,1504381,2017-11-29
arctic-data.14400.5,1432982,1432982,2017-11-29
arctic-data.14402.3,1504381,1504381,2017-11-29
arctic-data.14402.3,1432982,1432982,2017-11-29
arctic-data.14404.5,1504381,1504381,2017-11-29
arctic-data.14404.5,1432982,1432982,2017-11-29
arctic-data.14406.3,1504381,1504381,2017-11-29
arctic-data.14406.3,1432982,1432982,2017-11-29
arctic-data.14408.5,1504381,1504381,2017-11-29
arctic-data.14408.5,1432982,1432982,2017-11-29
arctic-data.14410.4,1504381,1504381,2017-11-29
arctic-data.14410.4,1432982,1432982,2017-11-29
arctic-data.14415.8,1642851,1642851,2017-11-30
arctic-data.14419.15,1304337,1304337,2017-11-30
arctic-data.14419.15,NSFC-4123052,4123052,2017-11-30
arctic-data.14419.15,NSFC-4147617,4147617,2017-11-30
arctic-data.14419.15,NSFC-4147617,4147617,2017-11-30
arctic-data.14419.15,NSFC-4140622,4140622,2017-11-30
arctic-data.14419.15,0909330,0909330,2017-11-30
arctic-data.14423.1,1304905,1304905,2017-11-30
arctic-data.14433.1,1304905,1304905,2017-12-03
arctic-data.14440.8,1304523,1304523,2017-12-15
arctic-data.14440.8,1304879,1304879,2017-12-15
arctic-data.14442.16,1303965,1303965,2017-12-12
arctic-data.14442.16,Foundation under grant 1303965,1303965,2017-12-12
arctic-data.14442.16, 282688,282688,2017-12-12
arctic-data.14444.3,1335302,1335302,2017-12-12
arctic-data.14453.5,1503724,1503724,2017-12-16
arctic-data.14454.1,1304905,1304905,2017-12-16
arctic-data.14458.4,1232856,1232856,2017-12-20
arctic-data.14458.4,1504394,1504394,2017-12-20
arctic-data.14461.6,1204220,1204220,2017-12-22
arctic-data.14461.6, 1204216,1204216,2017-12-22
arctic-data.14477.9,1203418,1203418,2017-12-22
arctic-data.14477.9,1203418,1203418,2016
arctic-data.14477.9,1203418,1203418,2017
arctic-data.14477.9,1203451,1203451,2017-12-22
arctic-data.14477.9,1203451,1203451,2016
arctic-data.14477.9,1203451,1203451,2017
arctic-data.14482.6,1203418,1203418,2017-12-22
arctic-data.14482.6,1203451,1203451,2017-12-22
arctic-data.14487.5,1504934,1504934,2018-01-01
arctic-data.14489.16,ARC-1264098,1264098,2018-01-02
arctic-data.14493.9,1204223,1204223,2018-01-05
arctic-data.14495.18,1203418,1203418,2018-01-05
arctic-data.14495.18, 1203451,1203451,2018-01-05
arctic-data.14506.3,1107801,1107801,2018-01-05
arctic-data.14507.8,1643187,1643187,2018-01-09
arctic-data.14541.2,ARC-1304137,1304137,2018-01-14
arctic-data.14543.4,1504345,1504345,2018-02-20
arctic-data.14545.14,1432277,1432277,2018-02-26
arctic-data.14549.17,1561437,1561437,2018-01-18
arctic-data.14565.10,1561437,1561437,2018-01-18
arctic-data.14567.13,1561437,1561437,2018-01-19
arctic-data.14569.10,1561437,1561437,2018-01-19
arctic-data.14571.10,1107481,1107481,2018-01-19
arctic-data.14571.10,1417300,1417300,2018-01-19
arctic-data.14578.6,NSF-ARC-1311655,1311655,2018-01-23
arctic-data.14578.6, NSF-ARC-0909499,0909499,2018-01-23
arctic-data.14583.3,1504345,1504345,2018-01-24
arctic-data.14585.3,1504345,1504345,2018-01-24
arctic-data.14587.1,1504345,1504345,2018-01-24
arctic-data.14589.1,1504345,1504345,2018-01-24
arctic-data.14591.1,1504345,1504345,2018-01-24
arctic-data.14593.1,1504345,1504345,2018-01-24
arctic-data.14595.1,1504345,1504345,2018-01-24
arctic-data.14597.3,1504345,1504345,2018-01-26
arctic-data.14599.2,1504345,1504345,2018-01-26
arctic-data.14601.2,1504345,1504345,2018-01-26
arctic-data.14603.2,1504345,1504345,2018-01-26
arctic-data.14605.2,1504345,1504345,2018-01-26
arctic-data.14607.2,1504345,1504345,2018-01-26
arctic-data.14609.1,1504345,1504345,2018-01-26
arctic-data.14611.1,1504345,1504345,2018-01-26
arctic-data.14613.1,1504345,1504345,2018-01-29
arctic-data.14615.1,1504345,1504345,2018-01-29
arctic-data.14617.3,1504345,1504345,2018-01-29
arctic-data.14619.1,1504345,1504345,2018-01-29
arctic-data.14646.10,1712031,1712031,2018-02-07
arctic-data.14646.10,NSF- PLR-1712031,1712031,2018-02-07
arctic-data.14654.4,NSF-GRFP 2014186,2014186,2018-02-06
arctic-data.14654.4,NSF-1506155,1506155,2018-02-06
arctic-data.14656.9,PLR1304544,1304544,2018-02-08
arctic-data.14656.9,PLR1355654,1355654,2018-02-08
arctic-data.14656.9,PLR1303879,1303879,2018-02-08
arctic-data.14656.9,PLR1314156,1314156,2018-02-08
arctic-data.14656.9,PLR1304692,1304692,2018-02-08
arctic-data.14656.9,PLR1314358,1314358,2018-02-08
arctic-data.14656.9,PLR1414314,1414314,2018-02-08
arctic-data.14656.9,PLR1420932,1420932,2018-02-08
arctic-data.14657.9,1107774,1107774,2018-03-22
arctic-data.14661.22,1204169,1204169,2018-02-14
arctic-data.14666.13,PLR-1304684,1304684,2018-02-16
arctic-data.14667.3,1304270,1304270,2018-02-23
arctic-data.14669.1,NSF CAREER 255228,255228,2018-02-20
arctic-data.14669.1,DOE TES DE-SC0010568,0010568,2018-02-20
arctic-data.14669.1,NSF IGERT 0966346,0966346,2018-02-20
arctic-data.14674.3,1504934,1504934,2018-02-20
arctic-data.14679.9, 1417345,1417345,2018-02-20
arctic-data.14681.6,1303895,1303895,2018-03-13
arctic-data.14681.6,  1304899,1304899,2018-03-13
