file,funding,funding_num,pubDate
arctic-data.10000.1,1203526,1203526,2016-12-28
arctic-data.10014.16,1263854,1263854,2017-01-11
arctic-data.10015.9,1432277,1432277,2017-01-12
arctic-data.10018.31,1204059,1204059,2017-01-23
arctic-data.10020.22,1107662,1107662,2017-02-02
arctic-data.10024.8,ARC-1203506,1203506,2017-02-03
arctic-data.10038.5,1203506,1203506,2017-02-03
arctic-data.10039.2,1107106,1107106,2017-02-03
arctic-data.10040.2,1107106,1107106,2017-02-03
arctic-data.10042.10,1204005,1204005,2017-02-08
arctic-data.10043.11,1203990,1203990,2017-02-09
arctic-data.10045.6,1203262,1203262,2017-02-13
arctic-data.10048.6,NSF ARC-1022716,1022716,2017-02-15
arctic-data.10048.6,NSF OCE-1458941,1458941,2017-02-15
arctic-data.10048.6,NSF OCE-0961980,0961980,2017-02-15
arctic-data.10050.5,NSF ARC-1022716,1022716,2017-02-15
arctic-data.10050.5,NSF OCE-1458941,1458941,2017-02-15
arctic-data.10050.5,NSF OCE-0961980,0961980,2017-02-15
arctic-data.10052.6,NSF ARC-1022716,1022716,2017-02-15
arctic-data.10052.6,NSF OCE-1458941,1458941,2017-02-15
arctic-data.10052.6,NSF OCE-0961980,0961980,2017-02-15
arctic-data.10053.6,1107892,1107892,2017-05-28
arctic-data.10053.6, 1304823,1304823,2017-05-28
arctic-data.10053.6, 1500931,1500931,2017-05-28
arctic-data.10053.6,1304823,1304823,2017-05-28
arctic-data.10053.6,1500931,1500931,2017-05-28
arctic-data.10054.3,1446308,1446308,2017-02-16
arctic-data.10055.8,1142201,1142201,2017-02-17
arctic-data.10058.5,1547011,1547011,2017-02-20
arctic-data.10059.21,0856479,0856479,2017-02-22
arctic-data.10060.3,1204005,1204005,2017-02-21
arctic-data.10063.5,1523191,1523191,2017-02-24
arctic-data.10064.4,1523191,1523191,2017-02-24
arctic-data.10065.4,1301929,1301929,2017-04-28
arctic-data.10066.6,1523191,1523191,2017-02-28
arctic-data.10067.6,1458941,1458941,2017-03-03
arctic-data.10067.6,1022716,1022716,2017-03-03
arctic-data.10067.6,0961980,0961980,2017-03-03
arctic-data.10069.6,1445823,1445823,2017-03-08
arctic-data.10070.2,1107106,1107106,2017-03-09
arctic-data.10071.9,0856479,0856479,2017-03-10
arctic-data.10107.8,1107491,1107491,2017-04-20
arctic-data.10108.4,1339445,1339445,2017-03-23
arctic-data.10110.7,1504934,1504934,2017-03-23
arctic-data.10113.7,1107491,1107491,2017-04-20
arctic-data.10114.11,1523191,1523191,2017-03-24
arctic-data.10115.11,1523191,1523191,2017-03-24
arctic-data.10117.5,1432982,1432982,2017-11-29
arctic-data.10122.6,1432982,1432982,2017-11-29
arctic-data.10124.4,1432982,1432982,2017-11-29
arctic-data.10126.9,1432982,1432982,2017-11-29
arctic-data.10128.5,1432982,1432982,2017-11-29
arctic-data.10130.5,1432982,1432982,2017-11-29
arctic-data.10132.6,1504381,1504381,2017-11-29
arctic-data.10134.5,1504381,1504381,2017-11-29
arctic-data.10136.6,1504381,1504381,2017-11-29
arctic-data.10138.5,1504381,1504381,2017-11-29
arctic-data.10140.4,1504381,1504381,2017-11-29
arctic-data.10142.5,1504381,1504381,2017-11-29
arctic-data.10144.5,1504381,1504381,2017-11-29
arctic-data.10146.5,1504381,1504381,2017-11-29
arctic-data.10148.4,1432982,1432982,2017-11-29
arctic-data.10151.6,1432982,1432982,2018-03-29
arctic-data.10153.4,0756708,0756708,2017-03-26
arctic-data.10154.10,1107491,1107491,2017-04-20
arctic-data.10156.1,1108074,1108074,2017-03-30
arctic-data.10495.7,1108074,1108074,2017-04-14
arctic-data.10496.1,12345,12345,2017-04-04
arctic-data.10497.9,0649006,0649006,2017-04-07
arctic-data.10499.6,1205008,1205008,2017-04-10
arctic-data.10502.6,1205008,1205008,2017-04-10
arctic-data.10504.7,1205008,1205008,2017-04-12
arctic-data.10506.4,1205008,1205008,2017-04-10
arctic-data.10508.5,1205008,1205008,2017-04-10
arctic-data.10510.4,1205008,1205008,2017-04-10
arctic-data.10512.4,1205008,1205008,2017-04-10
arctic-data.10514.4,1205008,1205008,2017-04-10
arctic-data.10516.5,1205008,1205008,2017-04-10
arctic-data.10518.4,1205008,1205008,2017-04-10
arctic-data.10520.4,1205008,1205008,2017-04-10
arctic-data.10522.5,1205008,1205008,2017-04-10
arctic-data.10524.4,1205008,1205008,2017-04-10
arctic-data.10529.10,1503672,1503672,2017-04-10
arctic-data.10529.10,0520287,0520287,2017-04-10
arctic-data.10529.10,0856292,0856292,2017-04-10
arctic-data.10530.3,1304613,1304613,2017-04-13
arctic-data.10536.12,1503672,1503672,2017-04-17
arctic-data.10536.12,0520287,0520287,2017-04-17
arctic-data.10536.12,0856292,0856292,2017-04-17
arctic-data.10538.17,1504141,1504141,2017-04-21
arctic-data.10540.6,1504141,1504141,2017-04-27
arctic-data.10542.7,1504141,1504141,2017-04-27
arctic-data.10544.6,1504141,1504141,2017-04-27
arctic-data.10545.2,1205008,1205008,2017-04-24
arctic-data.10547.8,1504141,1504141,2017-04-25
arctic-data.11065.9,1108074,1108074,2017-04-26
arctic-data.11065.9,1637459,1637459,2017-04-26
arctic-data.11065.9,1026843,1026843,2017-04-26
arctic-data.11065.9,981022,981022,2017-04-26
arctic-data.11065.9,9211775,9211775,2017-04-26
arctic-data.13710.5,1108074,1108074,2017-04-26
arctic-data.13710.5,1637459,1637459,2017-04-26
arctic-data.13710.5,1026843,1026843,2017-04-26
arctic-data.13710.5,981022,981022,2017-04-26
