funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
0806776,NSF Award 0806776,1,TRUE,2012-08-28T00:00:00Z,2016-04-02T09:19:44Z
0807094,NSF Award 0807094,1,TRUE,2013-11-07T00:00:00Z,2016-04-02T09:22:30Z
0808604,NSF Award 0808604,1,TRUE,2013-06-21T00:00:00Z,2016-04-02T09:10:35Z
0813635,NSF Award 0813635,1,TRUE,2015-08-10T00:00:00Z,2017-07-31T12:15:54Z
0839122,ANT-0839122; 0839122,3,TRUE,2016-12-08T00:00:00Z,2017-05-12T11:41:10Z
0842779,NSF Award 0842779,1,TRUE,2010-06-05T00:00:00Z,2016-04-02T08:55:04Z
0852077,0852077; NSF Award 0852077,2,TRUE,2014-06-25T00:00:00Z,2016-04-02T09:08:11Z
0855748,NSF Award NSF ARC-0855748; NSF Award ARC - 0855748; NSF Award 0855748,5,TRUE,2010-06-05T00:00:00Z,2016-04-02T01:28:24Z
0855828,NSF Award 0855828,1,TRUE,2010-06-05T00:00:00Z,2016-04-02T09:26:19Z
0856177,NSF Award 0856177,1,TRUE,2010-06-05T00:00:00Z,2017-08-08T14:29:38Z
0856214,NSF Award 0856214,1,TRUE,2014-07-11T00:00:00Z,2016-04-02T09:12:10Z
0856268,NSF Award 0856268,2,TRUE,2009-11-18T00:00:00Z,2016-04-02T01:05:45Z
0856305,NSF Award 0856305,1,TRUE,2012-11-15T00:00:00Z,2016-04-02T09:17:03Z
0856330,0856330; NSF Award 0856330,2,TRUE,2014-07-11T00:00:00Z,2016-04-02T09:12:10Z
0856421,NSF Award 0856421,1,TRUE,2010-06-05T00:00:00Z,2016-04-02T09:09:03Z
0856479,0856479,20,TRUE,2014-08-14T00:00:00Z,2018-04-09T15:02:21Z
0856503,NSF Award 0856503,1,TRUE,2014-07-11T00:00:00Z,2016-04-02T08:54:21Z
0856531,0856531; NSF Award 0856531,21,TRUE,NA,2016-04-02T09:03:03Z
0856559,0856559;    0856559;   0856559;  0856559; NSF Award 0856559,75,TRUE,2010-01-01T00:00:00Z,2016-03-22T16:00:00Z
0856710,0856710; NSF Award 0856710,41,TRUE,2010-05-25T00:00:00Z,2017-08-22T13:29:42Z
0856773, NSF Award 0856773; NSF Award 0856773,2,TRUE,2010-06-05T00:00:00Z,2016-03-22T16:00:00Z
0856845, 0856845; 0856845; NSF Award 0856845,5,TRUE,2014-07-11T00:00:00Z,2016-04-02T09:21:14Z
0856853,NSF Award 0856853,1,TRUE,2010-03-23T00:00:00Z,2016-04-02T09:08:54Z
0856864,NSF Award 0856864; 0856864,5,TRUE,2009-11-18T00:00:00Z,2017-05-10T10:30:19Z
0856867, 0856867; 0856867; NSF Award 0856867,7,TRUE,NA,2016-04-02T08:59:03Z
0902106,NSF Award 0902106,1,TRUE,2013-11-25T00:00:00Z,2016-04-02T09:29:03Z
0902126,NSF Award 0902126,1,TRUE,2013-12-11T00:00:00Z,2017-08-23T12:36:26Z
0902146,NSF Award 0902146,2,TRUE,2015-01-22T00:00:00Z,2016-04-02T00:55:20Z
0902175,NSF Award 0902175,1,TRUE,2012-09-26T00:00:00Z,2016-04-02T09:04:42Z
0902177,NSF Award 0902177,1,TRUE,2014-05-13T00:00:00Z,2016-04-02T09:31:12Z
0902184,NSF Award 0902184,1,TRUE,2012-11-12T00:00:00Z,2016-04-02T09:00:30Z
0903124,NSF Award 0903124,1,TRUE,2013-02-25T00:00:00Z,2016-11-23T16:46:25Z
0904050,0904050,2,TRUE,2016-10-10T00:00:00Z,2016-10-10T16:00:00Z
0904152,    NSF Award 0904152; NSF Award 0904152,33,TRUE,2010-01-01T00:00:00Z,2016-03-22T16:00:00Z
0908156,OPP-0908156; NSF Award 0908156,2,TRUE,2014-05-22T00:00:00Z,2017-08-21T14:33:18Z
0908724,NSF Award 0908724,1,TRUE,2014-01-08T00:00:00Z,2016-04-02T09:13:16Z
0909048,NSF Award 0909048,1,TRUE,2013-10-21T00:00:00Z,2016-04-02T09:30:07Z
0909155,NSF Award 0909155,1,TRUE,2012-11-12T00:00:00Z,2016-04-02T09:13:49Z
0909193,NSF Award 0909193,1,TRUE,2013-10-18T00:00:00Z,2017-08-07T14:06:15Z
0909264,NSF Award ARC 0909264,1,TRUE,2013-10-28T00:00:00Z,2016-04-02T09:24:30Z
0909265,NSF Award 0909265; 0909265,2,TRUE,2014-06-19T00:00:00Z,2017-08-23T11:23:16Z
0909274,NSF Award 0909274; 0909274,2,TRUE,2014-10-16T00:00:00Z,2016-04-02T09:16:10Z
0909330,NSF-ARC-0909330; 0909330,5,TRUE,2017-11-29T00:00:00Z,2018-01-29T11:15:25Z
0909349,NSF Award 0909349,1,TRUE,2014-10-31T00:00:00Z,2016-04-02T08:56:30Z
0909368,PLR-0909368; NSF Award 0909368,2,TRUE,2013-10-18T00:00:00Z,2016-04-02T01:47:40Z
0909372,NSF Award 0909372,1,TRUE,2013-12-18T00:00:00Z,2016-04-02T09:17:48Z
0909374,NSF Award 0909374; 0909374,2,TRUE,2013-06-04T00:00:00Z,2016-04-02T09:16:42Z
0909377,NSF Award 0909377,1,TRUE,2013-09-05T00:00:00Z,2016-04-02T09:10:57Z
0909388,NSF Award 0909388,2,TRUE,2013-05-28T00:00:00Z,2016-04-02T01:46:00Z
0909431,0909431,1,TRUE,2014-02-13T00:00:00Z,2016-11-23T16:25:33Z
0909432,NSF Award 0909432,2,TRUE,2013-01-24T00:00:00Z,2016-04-02T09:15:04Z
0909454, OPP-0909454; NSF Award 0909454,2,TRUE,2014-05-22T00:00:00Z,2017-08-21T14:33:18Z
0909482,NSF Award 0909482,1,TRUE,2014-02-27T00:00:00Z,2016-04-02T09:25:02Z
0909495,NSF Award 0909495,1,TRUE,2014-01-05T00:00:00Z,2016-04-02T09:27:58Z
0909499, NSF-ARC-0909499; NSF Award 0909499,2,TRUE,2014-01-20T00:00:00Z,2016-04-02T09:19:34Z
0909502,NSF Award 0909502,1,TRUE,2014-01-06T00:00:00Z,2016-04-02T09:33:54Z
0909523,NSF Award 0909523,1,TRUE,2013-04-30T00:00:00Z,2016-04-02T09:21:46Z
0909538,NSF Award 0909538,1,TRUE,2013-11-12T00:00:00Z,2016-04-02T09:13:04Z
