funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
0538427,1,autogen.2016032220462312535.2,NSF Award 0538427,2015-03-04T00:00:00Z,2016-04-02T03:37:15Z,04/28/2006,06/30/2010,ANTARCTIC GLACIOLOGY,07/01/2006,Trace and Ultra-Trace Chemistry Measurements of the WAIS Divide Ice Core
0611995,1,autogen.2016032221053629239.2,NSF Award 0611995,2012-05-09T00:00:00Z,2016-04-02T09:30:18Z,08/25/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Factors controlling seasonal changes in the structure and function of food webs of perennial spring streams in Arctic Alaska
0612452,1,autogen.2016032221021401187.2,NSF Award 0612452,2009-11-18T00:00:00Z,2016-04-02T09:20:43Z,01/23/2007,01/31/2010,AON IMPLEMENTATION,02/01/2007,Development of data products for the  University of Wisconsin High Spectral Resolution Lidar
0612457,4,autogen.2016032221502103054.4; autogen.2016032221502884456.8; autogen.2016032221503268657.12; autogen.2016112911315916889.4,0612457; ARC-0612457,2009-11-18T00:00:00Z,2016-10-21T13:19:26Z,05/03/2007,04/30/2011,ARCTIC NATURAL SCIENCES,05/15/2007,Collaborative Research: The Collaborative O-Buoy Project: Deployment of a Network of Arctic Ocean Chemical Sensors for the IPY and Beyond
0612461,1,autogen.2016032220504073903.2,NSF Award 0612461,2013-07-12T00:00:00Z,2016-04-02T09:11:39Z,06/22/2006,06/30/2009,ARCTIC NATURAL SCIENCES,07/01/2006,Collaborative Research: An Isotope MIF Study of Volcanic Events in Greenland Ice Cores
0612534,2,arctic-data.6228.6; autogen.2017120417004568948.1,0612534,2016-06-14T00:00:00Z,2016-05-16T16:00:00Z,08/18/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Mechanisms and feedback consequences of shrub expansion following long-term increases in winter snow depth in northern Alaska: a legacy for IPY
0622406,1,autogen.2016032221472444408.2,NSF Award 0622406,2009-11-18T00:00:00Z,2016-04-02T09:32:38Z,05/03/2006,07/31/2009,AON IMPLEMENTATION,05/15/2006,Development and implementation of the terrestrial Circumarctic Environmental Observatories Network (CEON)
0631713,1,autogen.2016032221520325781.2,NSF Award 0631713,2009-11-18T00:00:00Z,2016-04-02T09:28:08Z,02/23/2007,02/28/2010,ARCTIC NATURAL SCIENCES,03/01/2007,IPY: COLLABORATIVE RESEARCH: The Pacific Gateway to the Arctic- Quantifying and Understanding Bering Strait Oceanic Fluxes
0631951,2,autogen.2016032222012410823.4; autogen.2018052415240837763.3,0631951,2014-08-15T00:00:00Z,2018-05-24T13:08:58Z,01/24/2007,01/31/2011,AON IMPLEMENTATION,02/01/2007,IPY:  Towards an Arctic Observing Network:  An array of Ice-Tethered Profilers to sample the upper ocean water properties during the International Polar Year
0632139,1,autogen.2016032220472411252.2,NSF Award 0632139,2009-11-18T00:00:00Z,2016-04-02T09:17:25Z,03/13/2007,02/29/2012,ARCTIC NATURAL SCIENCES,03/15/2007,"IPY: Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape at Flagship Observatories and in a PanArctic Network"
0632144,1,autogen.2016032221304772150.3,NSF Award 0632144,2009-11-18T00:00:00Z,2017-09-11T15:24:23Z,02/07/2007,01/31/2010,AON IMPLEMENTATION,02/15/2007,IPY: Collaborative Research: Study of arctic ecosystem changes in the IPY using the International Tundra Experiment
0632187,27,autogen.2016032220484340873.5; autogen.2016032220484711474.5; autogen.2016032220485005075.4; autogen.2016032220485354676.6; autogen.2016032220485743277.4; autogen.2016032220490067978.4; autogen.2016032220490434479.4; autogen.2016032220490828380.4; autogen.2016032220491205181.4; autogen.2016032220491650082.4; autogen.2016032220492037383.6; autogen.2016032220492859585.6; autogen.2017021011193870377.2; autogen.2017021011204447078.2; autogen.2017021011212792579.2; autogen.2017021011215632680.2; autogen.2017021011223144481.2; autogen.2017021011230308082.3; autogen.2017021011232640583.3; autogen.2017021011363908284.2; autogen.2017021011365308085.2; autogen.2017021011370794686.2; autogen.2017021011372357387.2; autogen.2017021011373645488.2; autogen.2017021011375187989.2; autogen.2017021011392445890.2; autogen.2017021011395063691.2,0632187,2016-10-07T00:00:00Z,2017-02-03T12:00:08Z,03/13/2007,02/28/2010,AON IMPLEMENTATION,03/15/2007,Collaborative Research:  IPY:  Cloud Properties Across the Arctic Basin from Surface and Satellite Measurements - An Existing Arctic Observing Network
0632201,1,autogen.2016032221203485883.2,NSF Award 0632201,2009-11-18T00:00:00Z,2016-04-02T09:31:02Z,02/22/2007,02/28/2009,AON IMPLEMENTATION,03/01/2007,IPY:  Observing the dynamics of the deepest waters in the Arctic Ocean
0632231,1,autogen.2016032220374319897.3,NSF Award 0632231,2009-11-18T00:00:00Z,2017-09-21T16:04:20Z,03/29/2007,03/31/2011,AON IMPLEMENTATION,04/01/2007,IPY:  An Innovative Observational Network for Critical Arctic Gateways--Understanding Exchanges through Davis and Fram Straits
0632296,1,autogen.2016032220593386146.2,NSF Award 0632296,2009-11-18T00:00:00Z,2016-04-02T09:29:57Z,02/28/2007,02/28/2011,AON IMPLEMENTATION,03/01/2007,"Collaborative Research, IPY:   A Cooperative Arctic Data and Information Service (CADIS)"
0632345,1,autogen.2016032221035962714.2,NSF Award 0632345,2009-11-18T00:00:00Z,2016-04-02T09:05:50Z,04/06/2007,04/30/2010,AON IMPLEMENTATION,05/01/2007,IPY: Exchange for Local Observations and Knowledge of the Arctic (ELOKA)
0632387,1,autogen.2016032221205109588.2,NSF Award 0632387,2009-11-18T00:00:00Z,2016-04-02T09:34:38Z,03/13/2007,06/30/2011,ARCTIC SYSTEM SCIENCE PROGRAM,03/15/2007,"IPY: Pan-Arctic Studies of the Coupled Tropospheric, Stratospheric and Mesospheric Circulation"
0632398,5,autogen.2016032221522540687.8; autogen.2016032221523696790.2; autogen.2016032221524065391.10; autogen.2016032221525558895.3; autogen.2016071219511996974.1,0632398; NSF Award 0632398,NA,2016-04-02T08:59:03Z,03/29/2007,03/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,04/01/2007,IPY: Collaborative Research on the State of the Arctic Sea Ice Cover: An Integrated Seasonal Ice Zone Observing Network (SIZONET)
0632400,5,autogen.2016032221013553377.3; autogen.2016032221014715680.9; autogen.2016032221015096181.3; autogen.2016032221020309384.21; autogen.2017082211331739634.22,NSF Award 0632400; 0632400,2009-11-18T00:00:00Z,2018-05-24T14:18:58Z,02/06/2007,01/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,02/15/2007,IPY: Development of a Network of Permafrost Observatories in North America and Russia: The US Contribution to the International Polar Year
0633979,1,autogen.2016032220371353189.2,NSF Award 0633979,2009-11-18T00:00:00Z,2016-04-02T09:08:42Z,05/15/2007,04/30/2010,AON IMPLEMENTATION,05/15/2007,IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability
0634079,1,autogen.2016032220453826923.2,NSF Award 0634079,2009-11-18T00:00:00Z,2016-04-02T08:58:53Z,05/31/2007,09/30/2009,ARCTIC SOCIAL SCIENCES,06/01/2007,International Polar Year Collaborative Project: Bering Sea Sub-Network:   International Community-Based Observation Alliance for Arctic Observing Network (BSSN)
0638408,1,autogen.2016032221165038918.2,NSF Award 0638408,2009-11-18T00:00:00Z,2016-04-02T08:57:58Z,03/29/2007,03/31/2011,AON IMPLEMENTATION,04/01/2007,IPY Collaborative Research: Is the Arctic Human Environment Moving to a New State?
0649006,54,arctic-data.10497.9; autogen.2016032221530692998.2; autogen.2016032221530997499.3; autogen.2016032221533736005.3; autogen.2016032221534121706.3; autogen.2016032221540193411.3; autogen.2016032221560127642.3; autogen.2016032221563679451.3; autogen.2016032221564074452.3; autogen.2016032221564517553.3; autogen.2016032221564901754.3; autogen.2016032221565353455.3; autogen.2016032221565794056.3; autogen.2016032221570595358.3; autogen.2016032221570922459.3; autogen.2016032221571342760.3; autogen.2016032221572078862.3; autogen.2016032221572444463.3; autogen.2016032221572802064.3; autogen.2016032221573120065.3; autogen.2016032221573995967.3; autogen.2016032221574378568.3; autogen.2016032221574761569.3; autogen.2016032221575540571.3; autogen.2016032221575946572.3; autogen.2016032221580303373.3; autogen.2016032221580728774.3; autogen.2016032221581119675.3; autogen.2016032221581447176.3; autogen.2016032221581864477.3; autogen.2016032221582294378.3; autogen.2016032221582636779.3; autogen.2016032221583046480.3; autogen.2016032221583451381.3; autogen.2016032221583788782.3; autogen.2016032221584191983.3; autogen.2016032221584964285.3; autogen.2016032221585324786.3; autogen.2016032221585673187.3; autogen.2016032221590094388.3; autogen.2016032221590479189.3; autogen.2016032221590897090.3; autogen.2016032221591319691.3; autogen.2016032221592079993.3; autogen.2016032221592489594.3; autogen.2016032221592869895.3; autogen.2016032221593251996.3; autogen.2016032221593693597.3; autogen.2016032221594103298.3; autogen.2016032221594520799.3; autogen.20160322215949795100.3; autogen.2016032221595423200.3; autogen.2016032222000135202.4; autogen.2016032222000418403.3,0649006; NSF Award 0649006,2012-08-10T00:00:00Z,2016-04-02T09:06:55Z,09/10/2007,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2007,The Svalbard REU - Holocene and Modern Climate Change in the High Arctic
0710891,1,autogen.2016032220534686853.2,NSF Award 0710891,2013-03-05T00:00:00Z,2016-04-02T09:33:21Z,09/11/2007,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2007,Collaborative Research: High-resolution studies of glacier dynamics at two major outlet glaciers in East Greenland
0713943,1,autogen.2016032220494285989.4,NSF Award 0713943,2013-12-23T00:00:00Z,2017-08-15T15:53:20Z,08/24/2007,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2007,Collaborative Research:  A Synthesis of Existing and New Observations of Air-Snowpack Exchanges to Assess the Arctic
0714078,1,autogen.2016032220564228801.2,NSF Award 0714078,2013-11-25T00:00:00Z,2016-04-02T09:04:32Z,09/07/2007,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2007,Collaborative Research: The Impacts of Arctic Storms on Landfast Ice Variations
0715431,1,autogen.2016032220400796534.2,NSF Award 0715431,2015-04-23T00:00:00Z,2016-04-02T09:06:45Z,08/23/2007,07/31/2014,ARCTIC SOCIAL SCIENCES,09/01/2007,"Collaborative Proposal: Indigenous-State Relations in Alaska and Beyond:Sustainable Livelihoods, Biocultural Diversity and Health Since the Alaska Native Claims Settlement Act"
0732556,1,autogen.2016032221063047654.2,NSF Award 0732556,2009-11-18T00:00:00Z,2016-04-02T09:04:54Z,09/05/2007,09/30/2011,AON IMPLEMENTATION,10/01/2007,IPY: Halogen Chemistry and Ocean-Atmosphere-Sea Ice-Snowpack (OASIS) Chemical Exchange During IPY
0732713,1,autogen.2016032220370298786.2,NSF Award 0732713,2012-12-06T00:00:00Z,2016-04-02T09:14:54Z,12/17/2007,12/31/2011,ARCTIC NATURAL SCIENCES,01/01/2008,Adaptive long-term fasting in land- and ice-bound polar bears: coping with ice loss in the Arctic?
0732726,1,autogen.2016032221025233897.2,NSF Award 0732726,2009-11-18T00:00:00Z,2016-04-02T09:22:51Z,04/21/2008,03/31/2011,AON IMPLEMENTATION,04/15/2008,Collaborative Research: IPY:  Dynamic Controls on Tidewater Glacier Retreat
0732846,1,autogen.2016032221202412480.2,NSF Award 0732846,2015-09-22T00:00:00Z,2016-04-02T09:05:15Z,09/13/2007,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2007,COLLABORATIVE RESEARCH: IPY:  Reconstruction of Human Genetic History Along the North Slope
0732885,2,arctic-data.9450.4; autogen.2016032221151205592.3,0732885; NSF Award 0732885,2013-01-14T00:00:00Z,2017-08-01T15:49:50Z,09/10/2007,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2007,IPY Back to the Future (BTF): Re-sampling old research sites to assess change in high latitude terrestrial ecosystem structure and function
0732944,1,autogen.2016032221520676982.2,NSF Award 0732944,2010-01-22T00:00:00Z,2016-04-02T09:28:19Z,09/26/2007,12/31/2010,CCLI-Type 3 (Comprehensive),01/01/2008,Collaborative Research.  IPY:  The Polaris Project:  Rising Stars in the Arctic
0732948,1,autogen.2016032220535380455.2,NSF Award 0732948,2013-02-19T00:00:00Z,2016-04-02T09:34:05Z,02/20/2008,02/29/2012,ARCTIC NATURAL SCIENCES,03/01/2008,Collaborative Research: IPY: Observation and Modeling of Tundra Ecosystem Responses to Climate Change
0732985,2,autogen.2016032220425565278.6; autogen.2016032220425930979.6,0732985; NSF Award 0732985,2009-11-18T00:00:00Z,2016-11-15T09:28:56Z,06/20/2008,06/30/2012,AON IMPLEMENTATION,07/01/2008,Collaborative Research: IPY: Arctic Great Rivers Observatory (Arctic-GRO)
0733074,1,autogen.2016032221151514093.4,0733074,2014-06-18T00:00:00Z,2017-09-22T10:41:12Z,09/04/2007,08/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2007,IPY: Microbial winter survival physiology: a driver on microbial community composition and carbon cycling
0756708,1,arctic-data.10153.4,0756708,2017-03-26T00:00:00Z,2017-07-14T11:40:24Z,07/14/2009,07/31/2013,HUMANS IN THE POLAR REGIONS,08/01/2009,"Using Inuit Qaujimajatuqangit, Tradtional Knowledge, To Guide The Development Of Hypothses On Narwhal Tusk Function"
