funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
0856479,20,arctic-data.10059.21; arctic-data.10071.9; autogen.2016032222011972122.5; autogen.2016032222012801024.5; autogen.2017031308111714533.9; autogen.2017031310122163456.13; autogen.2017031311325446278.12; autogen.2017031509570196975.9; autogen.2017040409531324070.6; autogen.2017040410254697388.6; autogen.2017040411121445905.8; autogen.2017040413403128133.7; autogen.2017040414153417451.6; autogen.2017040415294419872.6; autogen.2017040415594540398.6; autogen.2017040611062211926.7; autogen.2017040611471038949.6; autogen.20170418090511755100.8; autogen.2017041810053968325.8; autogen.2018052415240837763.3,0856479,2014-08-14T00:00:00Z,2018-04-09T15:02:21Z,08/13/2009,07/31/2014,AON IMPLEMENTATION,08/15/2009,AON:  Continuation of the of Ice-Tethered Profiler contribution to the Arctic Observing Network
0856503,1,autogen.2016032220363705378.2,NSF Award 0856503,2014-07-11T00:00:00Z,2016-04-02T08:54:21Z,06/29/2009,12/31/2011,AON IMPLEMENTATION,07/01/2009,A Replacement Laser for the Arctic High Spectral Resolution Lidar
0856531,21,arctic-data.13724.4; arctic-data.13735.3; arctic-data.13740.1; arctic-data.13748.3; arctic-data.13753.2; arctic-data.7799.4; arctic-data.7837.4; arctic-data.7838.2; arctic-data.7839.2; arctic-data.7840.3; arctic-data.9351.2; arctic-data.9384.5; arctic-data.9394.1; autogen.2016032220053688635.8; autogen.2016032220593118945.2; autogen.2016091610021855501.6; autogen.2016091610085288604.3; autogen.2018053014053380689.8; autogen.2018053014321532899.7; autogen.2018053014533102108.7; autogen.2018060110452046870.6,0856531; NSF Award 0856531,NA,2016-04-02T09:03:03Z,06/18/2009,06/30/2014,AON IMPLEMENTATION,07/01/2009,AON:  Continuing the Beaufort Gyre Observing System to Document and Enhance Understanding Environmental Change in the Arctic
0856559,75,autogen.2016032221123780551.10; autogen.2016032221124149652.11; autogen.2016032221124583753.6; autogen.2016032221124583753.6; autogen.2016032221124583753.6; autogen.2016032221124583753.6; autogen.2016032221124958854.9; autogen.2016032221125676956.19; autogen.2016032221130440358.10; autogen.2016032221130783859.11; autogen.2016032221131157360.11; autogen.2016032221131157360.11; autogen.2016093012392642696.9; autogen.2017030813184604814.8; autogen.2017031014274858719.5; autogen.2017031516412580298.3; autogen.2017031708405876021.3; autogen.2017031711142303738.4; autogen.2017031713262634044.3; autogen.2017031715314748848.3; autogen.2017041313033324070.4; autogen.2017042509383361300.8; autogen.2017050809555522948.6; autogen.2017051609474360978.5; autogen.2017051611491916889.5; autogen.2017051612462292455.5; autogen.2017051613491288643.5; autogen.2017051616162252392.6; autogen.2017051710065419403.6; autogen.2017062213075681468.2; autogen.2017062215513816878.1; autogen.2017062311124793242.1; autogen.2017062315100352610.1; autogen.2017062609575041702.1; autogen.2017062611173929004.1; autogen.2017062616480912423.2; autogen.2017062711063588594.1; autogen.2017062713045478657.1; autogen.2017062715040371623.1; autogen.2017062810073633894.1; autogen.2017062812153713293.1; autogen.2017062813053938255.2; autogen.2017062813053938255.2; autogen.2017062814422078180.1; autogen.2017062815511392881.1; autogen.2017062911071710479.2; autogen.2017062911322107480.1; autogen.2017062911322107480.1; autogen.2017062914365014957.1; autogen.2017062914365014957.1; autogen.2017062915573881576.1; autogen.2017063009574299239.1; autogen.2017063009574299239.1; autogen.2017063011213068770.1; autogen.2017063012492798199.1; autogen.2017063012492798199.1; autogen.2017063015273139698.1; autogen.2017070311170906723.3; autogen.2017070312011325924.1; autogen.2017070312011325924.1; autogen.2017070313384893638.1; autogen.2017070313384893638.1; autogen.2017070314092250674.1; autogen.2017070314383881054.1; autogen.2017070314383881054.1; autogen.2017070510094272793.1; autogen.2017070511200026206.1; autogen.2017070512502938618.1; autogen.2017070513453991316.1; autogen.2017070609463042297.1; autogen.2017070611272166831.1; autogen.2017070613081410706.1; autogen.2017070614413409813.1; autogen.2017070709222098821.1; autogen.2017070710125238423.1,0856559;    0856559;   0856559;  0856559; NSF Award 0856559,2010-01-01T00:00:00Z,2016-03-22T16:00:00Z,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research:  An Integrated Characterization of Energy, Clouds,   Atmospheric State, and Precipitation at Summit (ICECAPS)"
0856710,41,autogen.2016032221341417503.3; autogen.2016032221370329848.9; autogen.2016032221390646480.3; autogen.2016032221401795698.3; autogen.2016032221403916102.3; autogen.2016032221405116905.3; autogen.2016032221414416619.3; autogen.2016032221422089929.3; autogen.2016032221423628233.3; autogen.2016032221424025234.3; autogen.2016032221424398835.3; autogen.2016032221425194837.3; autogen.2016032221425611138.3; autogen.2016032221425969639.3; autogen.2016032221430351440.3; autogen.2016032221430692941.3; autogen.2016032221431040942.3; autogen.2016032221431422943.3; autogen.2016032221431776044.3; autogen.2016032221432126945.3; autogen.2016032221433312748.3; autogen.2016032221434539951.3; autogen.2016032221440060055.3; autogen.2016032221441592359.3; autogen.2016032221444214366.3; autogen.2016032221444549967.3; autogen.2016032221444876568.4; autogen.2016032221445204769.3; autogen.2016032221445566570.3; autogen.2016032221445945071.3; autogen.2016032221450268572.3; autogen.2016032221450631173.3; autogen.2016032221450980674.3; autogen.2016032221451310675.3; autogen.2016032221451677276.3; autogen.2016032221452030577.3; autogen.2016032221452858979.3; autogen.2016032221453218780.3; autogen.2017113011213147776.1; autogen.2017113013525960128.1; autogen.2017113014121386763.1,0856710; NSF Award 0856710,2010-05-25T00:00:00Z,2017-08-22T13:29:42Z,08/14/2009,07/31/2015,AON IMPLEMENTATION,08/15/2009,Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations
0856773,2,autogen.2016032221124583753.6; autogen.2016093012392642696.9, NSF Award 0856773; NSF Award 0856773,2010-06-05T00:00:00Z,2016-03-22T16:00:00Z,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research: Integrated Characterization of Energy, Clouds, Atmospheric State, and Precipitation at Summit (ICECAPS)"
0856845,5,arctic-data.7787.1; arctic-data.7787.1; arctic-data.7789.5; arctic-data.7789.5; autogen.2016032220592777644.2, 0856845; 0856845; NSF Award 0856845,2014-07-11T00:00:00Z,2016-04-02T09:21:14Z,06/15/2009,06/30/2014,AON IMPLEMENTATION,07/01/2009,"Continued Core Atmospheric and Snow Measurements at the Summit, Greenland Environmental Observatory"
0856853,1,autogen.2016032221055150543.2,NSF Award 0856853,2010-03-23T00:00:00Z,2016-04-02T09:08:54Z,05/21/2009,05/31/2013,AON IMPLEMENTATION,06/15/2009,"Fire In the Arctic Landscape: Impacts, Interactions And Links To Global and Regional Environmental  Change"
0856864,5,autogen.2016032221013553377.3; autogen.2016032221014715680.9; autogen.2016032221015484382.8; autogen.2017082211331739634.22; autogen.2018011817100219914.15,NSF Award 0856864; 0856864,2009-11-18T00:00:00Z,2017-05-10T10:30:19Z,05/21/2009,11/30/2014,AON IMPLEMENTATION,06/15/2009,AON: Thermal State of Permafrost (TSP) in North America and Northern Eurasia: The US Contribution to the International network of Permafrost Observatories (INPO)
0856867,7,autogen.2016032221522540687.8; autogen.2016032221522540687.8; autogen.2016032221523696790.2; autogen.2016032221524065391.10; autogen.2016032221524829393.10; autogen.2016032221525558895.3; autogen.2016071219511996974.1, 0856867; 0856867; NSF Award 0856867,NA,2016-04-02T08:59:03Z,08/17/2009,12/31/2016,AON IMPLEMENTATION,01/01/2010,Collaborative Research on the State of the Arctic Sea Ice Cover: Sustaining the Integrated Seasonal Ice Zone Observing Network (SIZONET)
0902106,1,autogen.2016032221085170290.2,NSF Award 0902106,2013-11-25T00:00:00Z,2016-04-02T09:29:03Z,06/10/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,COLLABORATIVE RESEARCH: How does changing seasonality affect the capacity of arctic stream networks to influence nutrient fluxes from the landscape to the ocean?
0902126,1,autogen.2016032220550981676.3,NSF Award 0902126,2013-12-11T00:00:00Z,2017-08-23T12:36:26Z,06/16/2009,06/30/2013,ARCTIC SYSTEM SCIENCE PROGRAM,07/01/2009,Collaborative proposal: Shifting seasonality of Arctic river hydrology alters key biotic linkages among aquatic systems
0902146,2,autogen.2016032221210834093.2; autogen.2016032221211179994.2,NSF Award 0902146,2015-01-22T00:00:00Z,2016-04-02T00:55:20Z,08/14/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,"Understanding Climate-Driven Phenological Change: Observations, Adaptations and Cultural Implications in Northeastern Siberia and Labrador/Nunatsiavut (PHENARC)"
0902175,1,autogen.2016032220544630770.2,NSF Award 0902175,2012-09-26T00:00:00Z,2016-04-02T09:04:42Z,08/20/2009,08/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,Collaborative Research: Seasonality of circumpolar tundra - ocean and atmosphere controls and effects on energy and carbon budgets
0902177,1,autogen.2016032222024398543.2,NSF Award 0902177,2014-05-13T00:00:00Z,2016-04-02T09:31:12Z,09/02/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2009,Tracking the Seasonal Contribution of Algal Fatty Acids to the Arctic Marine System
0902184,1,autogen.2016032220561576595.2,NSF Award 0902184,2012-11-12T00:00:00Z,2016-04-02T09:00:30Z,07/09/2009,08/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,Collaborative Research: The Changing Seasonality of Tundra Nutrient Cycling: Implications for Ecosystem and Arctic System Functioning
0903124,1,autogen.2016032220543254766.3,NSF Award 0903124,2013-02-25T00:00:00Z,2016-11-23T16:46:25Z,06/04/2009,08/31/2012,PALEOCLIMATE PROGRAM,09/01/2009,"Collaborative Research:  P2C2--Ice Core Paleoclimate Records from Combatant Col, British Columbia, Canada"
0904050,2,arctic-data.9556.6; arctic-data.9558.1,0904050,2016-10-10T00:00:00Z,2016-10-10T16:00:00Z,01/27/2009,06/30/2012,ECOSYSTEM STUDIES,09/30/2008,"Collaborative Research: RUI: Landscape-level Controls on Terrestrial, Aquatic, and Wetland Responses to Climate Change in the Southern Canadian Arctic"
0904152,33,autogen.2016032221124583753.6; autogen.2016032221125359655.10; autogen.2016032221130079157.9; autogen.2016032221130783859.11; autogen.2016093012392642696.9; autogen.2017062911071710479.2; autogen.2017062915573881576.1; autogen.2017063011213068770.1; autogen.2017063015273139698.1; autogen.2017070311170906723.3; autogen.2017070314092250674.1; autogen.2017070511200026206.1; autogen.2017070513453991316.1; autogen.2017070610502072793.1; autogen.2017070612333750216.1; autogen.2017070614173857611.1; autogen.2017070615543939299.1; autogen.2017070710242453526.1; autogen.2017070711553052674.1; autogen.2017070713315602762.1; autogen.2017070714063645469.1; autogen.2017071012424806457.1; autogen.2017071111554603673.2; autogen.2017071310281537278.1; autogen.2017071314360531034.1; autogen.2017071408544542613.1; autogen.2017071411390284255.1; autogen.2017071414510718059.1; autogen.2017071708592010718.1; autogen.2017071711194517654.1; autogen.2017071713595933615.1; autogen.2017071813493140418.1; autogen.2017071909180827678.1,    NSF Award 0904152; NSF Award 0904152,2010-01-01T00:00:00Z,2016-03-22T16:00:00Z,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research: Integrated Characterization of Energy, Clouds, Atmospheric State, and Precipition over Summit ( ICECAPS)"
0908156,2,arctic-data.14689.11; autogen.2016032220555583489.3,OPP-0908156; NSF Award 0908156,2014-05-22T00:00:00Z,2017-08-21T14:33:18Z,08/28/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Subglacial controls on Greenland Ice Sheet marginal acceleration
0908724,1,autogen.2016032221061385149.2,NSF Award 0908724,2014-01-08T00:00:00Z,2016-04-02T09:13:16Z,08/03/2009,07/31/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Frost flowers in Arctic winter: Sea-to-air transport of microbes and viruses
0909048,1,autogen.2016032220531375644.2,NSF Award 0909048,2013-10-21T00:00:00Z,2016-04-02T09:30:07Z,07/27/2009,07/31/2013,ARCTIC NATURAL SCIENCES,08/01/2009,Collaborative research: Glacier seismicity and its relationship to basal movement
0909155,1,autogen.2016032220465099343.2,NSF Award 0909155,2012-11-12T00:00:00Z,2016-04-02T09:13:49Z,06/30/2009,10/31/2012,ARCTIC NATURAL SCIENCES,09/01/2009,Canopy gas exchange and growth of white spruce near the Arctic treeline: confronting measurements with models along natural and experimental resource gradients
0909193,1,autogen.2016032220501450197.3,NSF Award 0909193,2013-10-18T00:00:00Z,2017-08-07T14:06:15Z,08/26/2009,06/30/2013,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: A winter expedition to explore the biological and physical conditions of the Bering, Chukchi, and Southern Beaufort Seas"
0909264,1,autogen.2016032220432972987.2,NSF Award ARC 0909264,2013-10-28T00:00:00Z,2016-04-02T09:24:30Z,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Arctic Ocean redox history and Hg cycling using redox-sensitive trace metals and Hg isotopes: the influence of sea ice
0909265,2,autogen.2016032222050059578.3; autogen.2017112810582350765.1,NSF Award 0909265; 0909265,2014-06-19T00:00:00Z,2017-08-23T11:23:16Z,09/11/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,Understanding the physical properties of Northern Greenland near-surface snow: A spatial variability study
0909274,2,autogen.2016032220530353841.2; autogen.2016032220530678542.3,NSF Award 0909274; 0909274,2014-10-16T00:00:00Z,2016-04-02T09:16:10Z,08/04/2009,07/31/2014,ARCTIC NATURAL SCIENCES,08/15/2009,Collaborative Research: Glacier-Ocean Coupling in a Large East Greenland Fjord
0909330,5,arctic-data.14375.14; arctic-data.14419.15; arctic-data.14691.7; arctic-data.14695.7; autogen.2018011616564668896.7,NSF-ARC-0909330; 0909330,2017-11-29T00:00:00Z,2018-01-29T11:15:25Z,08/18/2009,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2009,Controls on Sea Surface pCO2 Variability and CO2 Uptake in the Western Arctic Ocean
0909349,1,autogen.2016032221212790398.2,NSF Award 0909349,2014-10-31T00:00:00Z,2016-04-02T08:56:30Z,08/04/2009,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2009,River Plumes as Indicators for Greenland Ice Sheet Melt
0909368,2,autogen.2016032220500204394.2; autogen.2016032220501450197.3,PLR-0909368; NSF Award 0909368,2013-10-18T00:00:00Z,2016-04-02T01:47:40Z,08/26/2009,08/31/2014,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: A Winter Expediton to Explore the Biological and Physical Conditions of the Bering, Chukchi and Southern Beaufort Seas"
0909372,1,autogen.2016032221114013035.2,NSF Award 0909372,2013-12-18T00:00:00Z,2016-04-02T09:17:48Z,07/31/2009,09/30/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Impacts of Climate Change and Ice Conditions on Microbial Food Web Dynamics in the Barents Sea
0909374,2,autogen.2016032220562750898.2; autogen.2016061713384327984.4,NSF Award 0909374; 0909374,2013-06-04T00:00:00Z,2016-04-02T09:16:42Z,09/11/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,"Collaborative Research: The impact of bromine chemistry on the isotopic composition of nitrate at Summit, Greenland"
0909377,1,autogen.2016032221144013383.2,NSF Award 0909377,2013-09-05T00:00:00Z,2016-04-02T09:10:57Z,07/13/2009,12/31/2012,ARCTIC NATURAL SCIENCES,08/01/2009,Interannual Variability in Carbon Export to the Deep Arctic Ocean
0909388,2,autogen.2016032221121133243.2; autogen.2016032221121449944.2,NSF Award 0909388,2013-05-28T00:00:00Z,2016-04-02T01:46:00Z,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Improving surface mass balance estimation of the Greenland ice sheet through assimilation of multi-sensor satellite products and ground measurements into a regional climate model
0909431,1,autogen.2016032220560613492.3,0909431,2014-02-13T00:00:00Z,2016-11-23T16:25:33Z,08/26/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Collaborative Research: Subglacial Water Intrusion in Greenland
0909432,2,autogen.2016032221185158654.2; autogen.2016032221185158654.2,NSF Award 0909432,2013-01-24T00:00:00Z,2016-04-02T09:15:04Z,07/17/2009,07/31/2012,ARCTIC NATURAL SCIENCES,08/01/2009,"Near-inertial wave generation, propagation, and shoaling in a seasonally ice-covered ocean"
0909454,2,arctic-data.14689.11; autogen.2016032220555583489.3, OPP-0909454; NSF Award 0909454,2014-05-22T00:00:00Z,2017-08-21T14:33:18Z,08/28/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Subglacial Controls on Greenland Ice Sheet Marginal Acceleration
0909482,1,autogen.2016032221513446673.2,NSF Award 0909482,2014-02-27T00:00:00Z,2016-04-02T09:25:02Z,08/20/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,The geochemical ecology of cryptoendolithic microorganisms: relationships between cyanobacteria and sandstone weathering in the Canadian High Arctic
0909495,1,autogen.2016032220532182546.2,NSF Award 0909495,2014-01-05T00:00:00Z,2016-04-02T09:27:58Z,08/24/2009,09/30/2013,ARCTIC NATURAL SCIENCES,10/01/2009,Collaborative Research: Greenland Ice Sheet Basal Hydrology and Sliding Dynamics ? The Proof of the Drill
0909499,2,arctic-data.14578.6; autogen.2016032220533282949.2, NSF-ARC-0909499; NSF Award 0909499,2014-01-20T00:00:00Z,2016-04-02T09:19:34Z,09/09/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2009,Collaborative Research: Greenland Ice Sheet Snow Accumulation Variability: Filling Knowledge and Data Voids
0909502,1,autogen.2016032221225724323.2,NSF Award 0909502,2014-01-06T00:00:00Z,2016-04-02T09:33:54Z,08/25/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,"Re-visiting ""The Limnology of Tundra Ponds"": Re-sampling historic sites to track global change in Arctic aquatic ecosystems."
0909523,1,autogen.2016032220541678462.2,NSF Award 0909523,2013-04-30T00:00:00Z,2016-04-02T09:21:46Z,07/23/2009,12/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2010,Collaborative Research: Nonlinearities in the Arctic climate system during the Holocene
0909538,1,autogen.2016032220520289625.2,NSF Award 0909538,2013-11-12T00:00:00Z,2016-04-02T09:13:04Z,07/16/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,Collaborative Research: Environmental changes alter the carbon cycle of High Arctic ecosystems: shifts in the ages and sources of CO2 and DOC
0909541,7,arctic-data.7787.1; arctic-data.7787.1; arctic-data.7789.5; arctic-data.7789.5; autogen.2016032220460723031.4; autogen.2016032220461983834.3; autogen.2016032220462312535.2, 0909541; 0909541; NSF Award 0909541,2013-11-21T00:00:00Z,2016-04-02T03:37:15Z,08/17/2009,08/31/2013,ARCTIC NATURAL SCIENCES,09/01/2009,"Biomass Burning, Dust, Sea Salt, Volcanic & Pollution Aerosols in the Arctic during the Last 2 Millennia: High Resolution Aerosol Records from NEEM & an Aray of Archived Ice Cores"
0909571,1,autogen.2016032221051416033.3,NSF Award 0909571,2014-02-11T00:00:00Z,2017-08-02T10:27:36Z,08/03/2009,09/30/2013,ARCTIC NATURAL SCIENCES,08/15/2009,Environmental change in the Arctic Ocean:  a synthesis and retrospective analysis of zooplankton communities
0935336,1,autogen.2016032221033805508.2,NSF Award 0935336,2013-02-22T00:00:00Z,2016-04-02T09:06:35Z,06/30/2009,12/31/2012,ARCTIC NATURAL SCIENCES,07/01/2009,EAGER: Developing a high-resolution late Holocene sediment record of rapid Arctic climate change from the Colville delta and adjacent Beaufort Sea inner shelf
0936365,1,autogen.2016032221314987266.2,NSF Award 0936365,2010-06-05T00:00:00Z,2016-04-02T09:07:17Z,09/01/2009,08/31/2012,ATMOSPHERIC CHEMISTRY,09/01/2009,"Support for Atmospheric Field Research at Thule, Greenland"
1003740,1,autogen.2016032220584714833.2,NSF Award 1003740,2013-08-30T00:00:00Z,2016-04-02T09:16:53Z,05/27/2010,06/30/2013,ARCTIC NATURAL SCIENCES,07/01/2010,Collaborative Research: Unraveling the post-Pliocene Arctic Ocean transition to the icehouse climate
1020417,2,autogen.2016032222282639146.2; autogen.2016032222282934147.3,NSF Award 1020417; 1020417,2015-03-17T00:00:00Z,2016-04-02T09:31:34Z,04/05/2011,03/31/2015,AON IMPLEMENTATION,04/15/2011,The Yukon River Basin Indigenous Observation Network: Uniting Traditional Ecological Knowledge and Western Science to Address and Understand Water Resources in the Arctic
1021274,3,autogen.2016032221115081238.2; autogen.2016032221240679442.2; autogen.2016032221240987743.2,NSF Award NSF-ARC-1021274; NSF Award 1021274,2015-11-23T00:00:00Z,2016-04-02T01:32:44Z,08/10/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,The Response of Arctic Clouds to Changes in Sea Ice during Autumn
1022139,2,arctic-data.9464.2; autogen.2016032220421072566.5,1022139; NSF Award 1022139,2010-09-20T00:00:00Z,2017-03-22T10:20:38Z,07/13/2010,12/31/2016,AON IMPLEMENTATION,07/15/2010,"Collaborative Research: Annual Observations of the Biological and Physical Marine Environment in the Chukchi and nearshore Beaufort Seas near Barrow, AK"
1022472,3,autogen.2016032221472760409.3; autogen.2016032221473168010.4; autogen.2016032221473593611.2,1022472; NSF Award 1022472,2014-09-03T00:00:00Z,2016-04-02T09:23:47Z,08/11/2010,08/31/2016,AON IMPLEMENTATION,09/01/2010,The Arctic Observing Network at Critical Gateways--A Sustained Observing System at Davis Strait
1022475,3,arctic-data.14272.7; autogen.2016032220540351058.2; autogen.2016032220540351058.2,1022475; NSF Award 1022475,2012-11-09T00:00:00Z,2016-04-02T08:59:57Z,08/19/2010,08/31/2016,AON IMPLEMENTATION,09/01/2010,Collaborative Research:  Long-term Observations in the Switchyard Region of the Arctic Ocean as part of the Arctic Observing Network (AON)
1022703,28,autogen.2016032221282056809.3; autogen.2016032221282362110.3; autogen.2016032221282742011.3; autogen.2016032221283117612.3; autogen.2016032221283448513.3; autogen.2016032221283811014.3; autogen.2016032221284170015.3; autogen.2016032221284414116.3; autogen.2016032221284734917.3; autogen.2016032221285109218.3; autogen.2016032221285436219.3; autogen.2016032221285775520.3; autogen.2016032221290064021.3; autogen.2016032221290381622.3; autogen.2016032221290682123.3; autogen.2016032221290964024.3; autogen.2016032221291336425.3; autogen.2016032221291711926.3; autogen.2016032221292114527.3; autogen.2016032221292539328.3; autogen.2016032221292843929.3; autogen.2016032221293167930.3; autogen.2016032221293508331.3; autogen.2016032221293863132.3; autogen.2016032221294216033.3; autogen.2016032221294523734.3; autogen.2016032221294777835.4; autogen.2016032221295210536.4,NSF Award 1022703,2015-11-19T00:00:00Z,2017-09-21T14:30:56Z,08/03/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Strain-Induced Fabric Development in Ice under Hydrostatic Pressure
1022710,2,autogen.2016032221253838367.2; autogen.2016032221254162668.3,NSF Award 1022710; 1022710,2015-11-06T00:00:00Z,2016-04-02T09:24:41Z,08/05/2010,12/31/2015,AON IMPLEMENTATION,01/01/2011,Collaborative Research: Sea ice deformation observation within AON
1022716,4,arctic-data.10048.6; arctic-data.10050.5; arctic-data.10052.6; arctic-data.10067.6,NSF ARC-1022716; 1022716,2017-02-15T00:00:00Z,2017-03-09T16:51:48Z,08/31/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Radiocarbon in Dissolved Organic Matter in the  Arctic Ocean
1022843,2,autogen.2016032221031547902.3; autogen.2016032221033504407.3,NSF Award 1022843,2013-10-24T00:00:00Z,2016-10-24T17:15:12Z,07/27/2010,07/31/2014,ARCTIC NATURAL SCIENCES,08/01/2010,Dynamics and Forcing of Nares Strait from  2003 to 2009: Tidal to Interannual Variability to the West of Greenland
1022979,1,autogen.2016032221171383825.3,NSF Award 1022979,2015-12-04T00:00:00Z,2017-07-31T15:06:26Z,08/25/2010,08/31/2015,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2010,Collaborative Research: Long-term carbon storage shifts in high-latitude peatlands with paleoclimate change: Linking peatland modeling with paleoecology and paleohydrology
1023118,16,autogen.2016032221502103054.4; autogen.2016032221502474555.7; autogen.2016032221502884456.8; autogen.2016032221503268657.12; autogen.2016032221503676658.8; autogen.2016032221504117059.7; autogen.2016032221504570160.7; autogen.2016032221504932461.7; autogen.2016032221505338362.9; autogen.2016032221505672563.9; autogen.2016032221510453965.7; autogen.2016032221510828366.7; autogen.2016032221511201967.6; autogen.2016032221511628368.9; autogen.2016032221512034369.10; autogen.2016112911315916889.4,1023118,2009-11-18T00:00:00Z,2016-10-21T13:19:26Z,09/09/2010,08/31/2016,AON IMPLEMENTATION,09/15/2010,Collaborative Research: The O-Buoy Network of Chemical Sensors in the Arctic Ocean
1023191,8,arctic-data.9687.1; arctic-data.9688.1; arctic-data.9689.1; arctic-data.9690.1; arctic-data.9695.1; arctic-data.9696.12; arctic-data.9789.11; arctic-data.9901.4,1023191,2016-11-09T00:00:00Z,2016-11-09T16:00:00Z,08/26/2010,02/29/2016,ARCTIC NATURAL SCIENCES,09/01/2010,Deciphering 6 My of the Greenland Ice Sheet History using in situ 10-Be from marine sediment cores
1023264,3,autogen.2016032220382100806.2; autogen.2016032220431751384.4; autogen.2016032220432199785.2, 1023264; 1023264; NSF Award 1023264,2014-10-21T00:00:00Z,2016-04-02T01:28:36Z,07/27/2010,07/31/2014,AON IMPLEMENTATION,08/15/2010,Arctic Ocean Acidification: Bering Strait Time Series
1023270,1,arctic-data.14334.13,1023270,2017-11-19T00:00:00Z,2017-12-04T09:48:24Z,09/08/2010,03/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2010,Collaborative Research: Turning on the lights - Photochemical and microbial processing of newly exposed carbon in arctic ecosystems
1023272,3,autogen.2016032222053900489.6; autogen.2016032222224456456.3; autogen.2016032222273986733.3,1023272; NSF Award 1023272,2014-12-01T00:00:00Z,2016-09-01T12:36:30Z,08/11/2010,02/28/2013,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: An investigation of wave dynamics in the Arctic mesosphere and coupling between the lower and upper polar atmosphere
1023281,1,autogen.2016032221035301712.2,NSF Award 1023281,2015-05-27T00:00:00Z,2016-04-02T09:03:47Z,08/26/2010,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: The East Siberian Arctic Shelf as a Source of Atmospheric Methane: First Approach to Quantitative Assessment
1023283,3,autogen.2016032221114707037.2; autogen.2016032221115081238.2; autogen.2016032221240987743.2,NSF Award 1023283; NSF Award NSF-ANS-1023283,2015-11-23T00:00:00Z,2016-04-02T01:32:44Z,08/05/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,"Impacts of reduced sea ice on atmospheric heat, precipitation rates, and ice production"
1023318,7,arctic-data.1577.4; arctic-data.1579.4; arctic-data.7787.1; arctic-data.7787.1; arctic-data.7789.5; arctic-data.7789.5; autogen.2016032220383208109.3,1023318;  1023318; NSF Award 1023318,2015-10-20T00:00:00Z,2016-06-10T16:00:00Z,08/31/2010,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2010,Collaborative Research: Analysis of McCall Glacier Ice Core and Related Modern Process Studies
1023331,5,arctic-data.7732.4; arctic-data.9567.3; arctic-data.9583.2; autogen.2016032220404018642.5; autogen.2016032220421072566.5,1023331; NSF Award 1023331,2010-09-20T00:00:00Z,2016-10-13T15:50:48Z,07/13/2010,12/31/2018,AON IMPLEMENTATION,07/15/2010,"Collaborative Research: Annual Observations of the Biological and Physical Marine Environment in the Chukchi and Nearshore Beaufort Seas near Barrow, AK"
